Library Name,Legal Service Area (Population Assignment),Start of Local Fiscal Year (LFY),End of Local Fiscal Year (LFY),Mail City,Library Phone,Total Staff Expenditures,Print Material Expenditures,Electronic Material Expenditures,City/Library District Capital Revenue,Total Capital Revenue,Electronically Searchable  Catalog,1% of Collection Published in Last Five Years?,Books in Print,Physical Audio Items,E-books,E-Audio,Total Collection Items,Annual Library Visits,Registered Library Users,Annual Circulation: All Other Ages Physical Items,Annual Circulation: All Other Ages Digital Items,Total Annual Circulation,Public Internet Computers Available,Number of Public Internet Computers,Annual Number of Computer Uses,Annual Website Visits,Annual Number of Public Service Hours,Annual Number Public Service Weeks
Chambers County Library System,"46,443",01-01-2023,12/31/2023,Anahuac,(409) 267-2550,"$12,12,900.00","$56,969.00","$47,617.00",$0.00,$0.00,Y,Y,"93,147","2,662","8,38,982","5,50,398","15,15,957","69,766","18,801","39,929","8,930","1,00,964",Y,37,"6,478","91,771","2,583",52
Andrews County Library,"18,334",10-01-2022,09/30/2023,Andrews,(432) 523-9819,"$5,27,683.00","$36,234.00","$10,571.00",$0.00,$0.00,Y,Y,"53,297","3,716","33,540","8,726","1,03,474","31,028","4,976","22,433","5,058","42,906",Y,21,"3,017",0,"2,333",52
Brazoria County Library System,"3,88,181",10-01-2022,09/30/2023,Angleton,(979) 864-1505,"$64,29,077.00","$7,10,982.00","$5,15,934.00","$22,01,780.00","$22,01,780.00",Y,Y,"3,41,669","12,136","9,12,427","1,47,99,423","1,61,42,200","7,54,373","1,52,407","5,55,988","2,21,462","17,25,814",Y,154,"64,346","9,80,498",0,0
Anson Public Library,"2,301",01-01-2023,12/31/2023,Anson,(325) 823-2711,"$9,756.00","$2,389.00",$0.00,$0.00,$0.00,Y,Y,"18,281",5,0,0,"18,298","1,549",0,464,0,744,Y,5,0,0,"1,350",50
Ed & Hazel Richmond Public Library,"11,675",10-01-2022,09/30/2023,Aransas Pass,(361) 758-2350,"$1,63,538.00","$6,244.00","$3,500.00",$0.00,$0.00,Y,Y,"22,986",462,"25,571","9,367","59,290","16,124","7,778","7,942","1,566","12,153",Y,17,"2,543",0,"2,460",52
Archer Public Library,"8,835",10-01-2022,09/30/2023,Archer City,(940) 574-4954,"$57,147.00","$3,401.00","$1,411.00",$0.00,"$44,480.00",Y,Y,"19,676",743,"25,763","5,626","54,834","11,850","3,093","6,375",838,"10,811",Y,7,"2,006","1,148","1,711",48
Arlington Public Library System,"3,94,602",10-01-2022,09/30/2023,Arlington,(817) 459-6900,"$60,70,802.00","$4,27,154.00","$4,44,668.00",$0.00,$0.00,Y,Y,"4,08,048","20,878","29,654","35,948","5,31,682","5,63,581","1,50,519","5,02,538","4,15,806","16,38,179",Y,462,"92,175","12,95,181","3,640",52
Stonewall County Library,"1,182",10-01-2022,09/30/2023,Aspermont,(940) 989-2730,"$28,850.00","$1,710.00",$773.00,$0.00,$0.00,Y,Y,"15,174",468,"1,71,836","87,176","2,80,752","1,084",936,930,619,"1,682",Y,6,66,0,"1,001",48
Henderson County Clint W Murchison Memorial Library,"23,446",01-01-2023,12/31/2023,Athens,(903) 677-7295,"$2,89,684.00","$20,361.00","$6,750.00",$0.00,$0.00,Y,Y,"38,281","1,801","48,060","13,902","1,04,537","28,589","13,937","19,476","11,923","46,733",Y,8,"3,442","8,049","2,333",52
Atlanta Public Library,"8,901",10-01-2022,09/30/2023,Atlanta,(903) 796-2112,"$2,22,410.00","$33,973.00","$4,003.00",$0.00,$0.00,Y,Y,"23,033","2,234","50,738","11,524","1,20,571","33,943","2,365","18,622","4,672","32,879",Y,6,"2,779",0,"2,104",47
Aubrey Area Library,"24,536",10-01-2022,09/30/2023,Aubrey,(940) 365-9162,"$2,19,220.00","$18,525.00","$9,820.00","$23,833.00","$23,833.00",Y,Y,"19,595",194,"20,781","13,968","56,189","32,351","5,654","15,807","12,109","95,720",Y,9,"1,638",0,"1,999",50
Austin Public Library,"9,74,447",10-01-2022,09/30/2023,Austin,(512) 974-7400,"$3,98,18,860.00","$21,28,009.00","$34,49,706.00",$0.00,$0.00,Y,Y,"12,62,373","1,01,410","2,74,185","1,57,544","19,98,163","22,14,197","4,71,594","19,26,089","27,79,137","73,64,967",Y,745,"2,92,442","53,56,668","3,132",52
Lake Travis Community Library,"50,858",07-01-2022,06/30/2023,Austin-Lakeway,(512) 263-2885,"$6,82,585.00","$42,001.00","$1,02,242.00",$0.00,$0.00,Y,Y,"44,123","2,790","1,08,954","25,894","2,19,947","1,98,868","29,848","1,58,603","64,429","3,93,337",Y,10,"4,613","1,31,657","2,383",52
Wells Branch Community Library,"14,048",01-01-2023,12/31/2023,Austin-Wells Branch,(512) 989-3188,"$7,24,271.00","$79,970.00","$70,943.00","$15,00,000.00","$15,00,000.00",Y,Y,"44,725","1,595","39,320","19,365","1,13,350","70,310","6,670","66,432","25,766","1,86,693",Y,10,"4,960","4,928","2,970",52
Westbank Community Library District,"25,658",01-01-2023,12/31/2023,Austin-West Lake Hills,(512) 314-3580,"$20,13,645.00","$1,24,862.00","$3,93,788.00","$20,26,696.00","$20,26,696.00",Y,Y,"70,115","2,454","2,99,794","1,00,043","5,12,405","1,81,933","22,335","1,05,899","1,77,999","5,51,879",Y,14,"9,354","1,17,896","2,850",52
Azle Memorial Library,"17,207",10-01-2022,09/30/2023,Azle,(817) 752-2682,"$5,90,053.00","$30,439.00","$5,337.00",$0.00,$0.00,Y,Y,"49,559","2,167","20,697","13,882","94,276","86,641","13,428","99,691","29,719","2,35,599",Y,16,"4,682",0,"2,320",52
Balch Springs Library - Learning Center,"26,947",10-01-2022,09/30/2023,Balch Springs,(972) 913-3000,"$4,82,305.00","$25,187.00","$3,500.00",$0.00,$0.00,Y,Y,"17,391",410,"47,343","13,035","81,335","50,479","6,514","6,186","1,575","32,457",Y,14,"4,620","16,087","2,548",52
Bandera County Library,"7,321",10-01-2022,09/30/2023,Bandera,(830) 796-4213,"$1,11,169.00","$19,567.00","$1,500.00",$0.00,$0.00,Y,Y,"22,270","1,404","32,815","10,036","69,925","16,467","5,330","17,442","5,708","28,576",Y,11,"4,947","21,924","2,436",52
Teinert Memorial Public Library,"1,613",10-01-2022,09/30/2023,Bartlett,(254) 527-4308,$0.00,$750.00,"$1,500.00",$0.00,$0.00,Y,Y,"7,852",0,"28,500","6,250","42,602",354,"2,342","4,750",0,"7,502",Y,4,52,0,425,51
Bastrop Public Library,"11,189",10-01-2022,09/30/2023,Bastrop,(512) 332-8880,"$6,21,756.00","$47,712.00","$7,000.00","$20,000.00","$20,000.00",Y,Y,"39,514","3,246","45,795","14,917","1,08,095","69,478","3,354","37,785","14,083","1,02,093",Y,30,"7,958","47,938","2,247",52
Bay City Public Library,"28,925",10-01-2022,09/30/2023,Bay City,(979) 245-6931,"$3,29,937.00","$28,160.00","$5,041.00",$0.00,$0.00,Y,Y,"38,164",709,"25,546","3,749","71,345","24,676","15,495","17,551","6,034","40,634",Y,21,"3,986","3,262","2,407",50
Sterling Municipal Library,"84,324",10-01-2022,09/30/2023,Baytown,(281) 427-7331,"$21,91,455.00","$96,019.00","$94,500.00",$0.00,$0.00,Y,Y,"1,08,842","4,724","57,529","20,998","1,96,600","1,42,812","33,156","1,04,898","46,455","2,27,427",Y,46,"31,141","89,960","3,143",52
Beaumont Public Library System,"1,12,089",10-01-2022,09/30/2023,Beaumont,(409) 981-5911,"$17,81,800.00","$1,26,141.00","$60,000.00",$0.00,$0.00,Y,Y,"3,02,100","13,723","14,535","4,413","3,67,545","1,98,668","94,442","1,06,850","24,076","2,55,425",Y,54,"38,688","32,153","2,340",52
Bedford Public Library,"48,724",10-01-2022,09/30/2023,Bedford,(817) 952-2332,"$13,17,255.00","$1,21,448.00","$54,449.00",$0.00,$0.00,Y,Y,"79,766","1,938","20,697","13,882","1,26,859","1,33,635","35,401","1,77,382","59,736","4,16,655",Y,42,"13,672","56,098","2,746",52
Bedias Public Library,"1,328",10-01-2022,09/30/2023,Bedias,(936) 395-2658,$0.00,$0.00,$0.00,$0.00,$500.00,Y,Y,"12,648",618,0,0,"15,093",593,"1,099",861,0,"1,886",Y,2,41,0,15,49
Bee Cave Public Library,"8,853",10-01-2022,09/30/2023,Bee Cave,(512) 767-6620,"$8,72,892.00","$44,371.00","$71,530.00",$0.00,$0.00,Y,Y,"26,381","1,044","35,109","13,460","78,779","69,647","6,705","17,937","30,316","1,06,006",Y,7,970,0,"1,816",52
Joe Barnhart Bee County Library,"23,502",10-01-2022,09/30/2023,Beeville,(361) 362-4901,"$2,92,791.00","$31,141.00","$17,589.00",$0.00,$0.00,Y,Y,"36,037","1,055","1,07,868","64,179","2,11,223","77,633","18,554","21,765","2,930","35,338",Y,26,"8,619","6,800","2,758",52
Bellaire City Library,"16,991",10-01-2022,09/30/2023,Bellaire,(713) 662-8160,"$6,83,518.00","$49,158.00","$11,775.00",$0.00,$0.00,Y,Y,"84,754","1,861","61,401","21,791","1,73,365","70,354","11,423","50,265","21,283","1,77,372",Y,19,"7,334",0,"2,289",52
Bellville Public Library,"4,209",10-01-2022,09/30/2023,Bellville,(979) 865-3731,"$2,88,312.00","$14,562.00","$1,500.00",$0.00,$0.00,Y,Y,"26,600",566,"21,147","2,570","53,192","21,627","2,957","22,679","3,376","39,238",Y,9,"1,423",0,"1,965",52
Lena Armstrong Public Library,"24,327",10-01-2022,09/30/2023,Belton,(254) 933-5830,"$2,83,586.00","$36,650.00","$12,111.00",$0.00,$0.00,Y,Y,"26,853","1,103","1,86,873","91,468","3,07,806","47,250","7,542","32,108","4,676","91,182",Y,11,"5,674","8,816","2,335",52
Benbrook Public Library,"24,437",10-01-2022,09/30/2023,Benbrook,(817) 249-6632,"$12,52,051.00","$57,411.00","$37,179.00",$0.00,"$1,01,532.00",Y,Y,"46,461","1,131","10,51,469","3,28,977","14,93,933","1,04,782","12,962","34,982","30,585","1,40,371",Y,16,"7,257",0,"3,038",52
Reagan County Library,"3,135",10-01-2022,09/30/2023,Big Lake,(325) 884-2854,"$2,18,199.00","$9,297.00","$6,819.00",$0.00,$0.00,Y,Y,"15,131",500,"1,74,899","90,763","2,81,858","15,323","1,074","1,995","6,488","9,777",Y,14,836,0,"2,142",39
Howard County Library,"33,672",10-01-2022,09/30/2023,Big Spring,(432) 264-2260,"$4,21,122.00","$22,352.00","$14,331.00",$0.00,"$1,06,965.00",Y,Y,"48,456","2,653","33,562","8,761","96,232","48,462","13,746","15,751","3,850","34,526",Y,19,"3,798","16,540","2,233",52
Blanco County South Library District,"6,820",07-01-2022,06/30/2023,Blanco,(830) 833-4280,"$1,97,368.00","$22,996.00","$5,500.00",$0.00,$0.00,Y,Y,"20,256",759,"30,194","10,372","64,056","20,256","2,654","13,015","4,740","24,686",Y,27,"1,895","10,978","2,212",51
Patrick Heath Public Library,"28,032",10-01-2022,09/30/2023,Boerne,(830) 249-3053,"$11,90,779.00","$70,194.00","$40,085.00",$0.00,$0.00,Y,Y,"37,369","1,495","2,04,776","97,207","3,44,430","1,54,722","20,467","85,950","44,624","3,01,531",Y,44,"6,181","42,344","2,712",52
Bonham Public Library,"10,746",01-01-2023,12/31/2023,Bonham,(903) 583-3128,"$2,54,192.00","$14,221.00","$10,550.00",$0.00,$0.00,Y,Y,"28,104",841,"5,45,649","97,802","6,89,561","18,548","18,259","13,016","6,378","36,458",Y,9,"1,800","5,697","1,680",35
Booker School/Public Library,"1,557",10-01-2022,09/30/2023,Booker,(806) 658-4521,"$34,242.00",$708.00,$983.00,$0.00,$0.00,Y,Y,"23,444",9,"20,919","6,192","50,588","5,000","1,200","33,360",383,"37,499",Y,4,20,"8,000","1,400",45
Hutchinson County Library,"20,215",10-01-2022,09/30/2023,Borger,(806) 273-0126,"$5,15,217.00","$32,595.00","$3,738.00",$0.00,$0.00,Y,Y,"46,395","2,189","5,982","1,941","58,566","51,940","7,128","27,956","1,587","39,344",Y,14,"1,957","20,962","2,450",50
Bowie Public Library,"18,607",10-01-2022,09/30/2023,Bowie,(940) 872-2681,"$1,70,020.00","$9,254.00","$1,988.00",$0.00,$0.00,Y,Y,"22,878","1,079","10,709","1,233","38,376","32,552","3,633","11,164","25,369","51,024",Y,13,"1,637",0,"2,011",52
McCulloch County Library,"7,497",10-01-2022,09/30/2023,Brady,(325) 597-2617,"$1,31,362.00","$6,130.00","$1,500.00",$0.00,$0.00,Y,Y,"17,011",813,"42,579","1,909","63,893","11,952","7,043","9,740","2,192","20,286",Y,11,"1,025",0,"1,805",52
Breckenridge Library,"5,177",01-01-2023,12/31/2023,Breckenridge,(254) 559-5505,"$54,811.00","$3,752.00","$1,500.00",$0.00,$0.00,Y,Y,"24,134","1,190","25,135","6,199","57,103","5,028","3,582","1,998","1,615","4,712",Y,6,804,0,"1,042",46
Nancy Carol Roberts Memorial Library,"18,469",10-01-2022,09/30/2023,Brenham,(979) 337-7201,"$3,41,285.00","$49,654.00","$20,271.00",$0.00,$0.00,Y,Y,"40,434","1,488","30,758","10,625","86,014","60,520","33,208","65,212","9,479","1,39,185",Y,33,"8,370","12,691","2,072",52
Bridge City Public Library,"9,574",10-01-2022,09/30/2023,Bridge City,(409) 735-4242,"$1,66,892.00","$18,954.00",$500.00,$0.00,$0.00,Y,Y,"16,695",377,"39,583","8,041","66,397","11,032","3,399","5,878",567,"15,193",Y,8,"1,111",0,"1,729",52
Bridgeport Public Library,"26,537",10-01-2022,09/30/2023,Bridgeport,(940) 683-3450,"$2,37,337.00","$13,038.00","$3,000.00",$0.00,$0.00,Y,Y,"36,548","1,449","18,075","10,050","67,183","29,243","8,805","12,040","1,664","26,479",Y,10,"2,171",0,"1,680",50
Kendrick Memorial Library,"11,567",01-01-2023,12/31/2023,Brownfield,(806) 637-3848,"$1,28,499.00","$8,886.00","$3,000.00",$0.00,$0.00,Y,Y,"39,288","1,232","18,628","4,460","64,740","9,887","4,210","6,153","1,406","11,648",Y,6,779,0,"1,947",49
Brownsville Public Library,"2,58,340",10-01-2022,09/30/2023,Brownsville,(956) 548-1055,"$21,86,737.00","$3,17,147.00","$4,09,361.00",$0.00,$0.00,Y,Y,"2,35,084","2,813","38,047","23,431","3,30,898","5,95,784","1,01,223","1,22,602","1,33,568","3,23,935",Y,251,"42,462","38,366","3,376",52
Brownwood Community Library,"38,373",10-01-2022,09/30/2023,Brownwood,(325) 646-0155,"$1,95,997.00","$11,878.00","$5,041.00",$0.00,$0.00,Y,Y,"49,844","1,336","1,86,873","91,468","3,32,649","41,989","9,810","34,310","10,049","82,711",Y,17,"7,249","15,782","2,436",52
Bryan+College Station Public Library System,"2,12,111",10-01-2022,09/30/2023,Bryan,(979) 209-5600,"$26,06,389.00","$1,87,313.00","$95,556.00",$0.00,$0.00,Y,Y,"1,80,210","5,982","16,554","6,025","2,19,358","3,10,146","51,792","2,05,443","47,564","6,44,146",Y,48,"20,830","1,98,004","2,789",52
Buda Public Library,"21,289",10-01-2022,09/30/2023,Buda,(512) 295-5899,"$6,61,202.00","$39,104.00","$25,513.00",$0.00,$0.00,Y,Y,"42,096","3,562","45,478","17,090","1,10,023","95,515","11,008","59,802","29,109","2,06,483",Y,22,"7,296","60,681","2,656",52
Bullard Community Library,"4,232",01-01-2023,12/31/2023,Bullard,(903) 894-6125,"$26,415.00","$4,887.00","$2,721.00",$0.00,$0.00,Y,Y,"14,200",550,"26,093","5,817","47,975","9,805","1,650","4,686","2,514","20,967",Y,5,463,"7,967","1,560",52
Mammen Family Public Library,"40,366",07-01-2022,06/30/2023,Bulverde,(830) 438-4864,"$9,25,621.00","$69,116.00","$35,085.00",$0.00,$0.00,Y,Y,"50,280","4,305","2,00,828","94,022","3,61,026","1,65,782","13,549","1,14,095","39,739","3,50,485",Y,9,"4,104","1,03,312","2,834",52
Buna Public Library,"9,013",01-01-2023,12/31/2023,Buna,(409) 994-5501,"$21,321.00","$1,741.00","$3,807.00",$0.00,$0.00,Y,Y,"18,710",489,98,0,"21,308","4,992","2,864","2,609",284,"4,302",Y,5,545,0,"1,671",48
Burkburnett Library,"11,102",10-01-2022,09/30/2023,Burkburnett,(940) 569-2991,"$1,32,532.00","$26,762.00","$3,000.00",$0.00,"$47,878.00",Y,Y,"21,094","1,394","53,962","4,292","82,634","21,050","11,617","27,901","18,649","79,229",Y,10,"1,755","6,421","2,060",51
Burleson Public Library,"53,381",10-01-2022,09/30/2023,Burleson,(817) 426-9210,"$8,22,595.00","$50,837.00","$1,00,830.00","$1,18,770.00","$1,18,770.00",Y,Y,"44,097","2,094","30,691","21,160","1,01,779","1,90,102","17,569","88,202","61,499","2,87,584",Y,16,"11,203","1,44,816","3,003",52
Burnet County Library System,"52,502",10-01-2022,09/30/2023,Burnet,(512) 715-5228,"$9,88,271.00","$82,943.00","$69,130.00",$0.00,$0.00,Y,Y,"91,456","7,453","8,61,015","5,91,593","16,31,375","1,23,608","21,163","98,329","51,237","2,48,562",Y,38,"8,792","34,891","1,938",52
Harrie P Woodson Memorial Library,"4,350",10-01-2022,09/30/2023,Caldwell,(979) 567-3271,"$2,07,650.00","$4,449.00","$1,500.00",$0.00,$0.00,Y,Y,"20,587",236,"36,921","12,501","72,359","13,435","1,155","3,993",872,"11,126",Y,4,"1,322",0,"2,808",52
Cameron Public Library,"5,418",10-01-2022,09/30/2023,Cameron,(254) 697-2401,"$60,394.00","$12,878.00",$0.00,$0.00,$0.00,Y,Y,"21,744",156,"15,037","4,292","41,590","9,674","3,181","7,754",263,"16,381",Y,4,696,0,"1,400",50
Camp Wood Public Library,"1,385",09-01-2022,08/31/2023,Camp Wood,(830) 597-3208,$1.00,"$4,562.00","$1,500.00",$0.00,$0.00,Y,Y,"6,268",73,"32,872","9,846","50,773","5,010","1,030","2,068",399,"3,619",Y,7,492,0,"1,236",52
Hemphill County Library,"3,217",10-01-2022,09/30/2023,Canadian,(806) 323-5282,"$1,97,494.00","$17,255.00",$0.00,$0.00,$0.00,Y,Y,"41,808","3,884","21,019","6,233","76,100","17,601","2,098","7,353",529,"18,798",Y,8,110,"7,615","2,321",52
Van Zandt County Library,"14,476",10-01-2022,09/30/2023,Canton,(903) 567-4276,"$1,38,984.00","$12,129.00","$3,100.00",$0.00,$0.00,Y,Y,"33,401",471,"28,859","4,420","69,860","26,550","14,093","21,785",35,"35,723",Y,12,"2,316",0,"1,649",50
Canyon Area Library,"43,881",10-01-2022,09/30/2023,Canyon,(806) 655-5015,"$2,94,231.00","$20,797.00","$23,292.00",$0.00,$0.00,Y,Y,"30,893","1,886","18,845","7,796","62,813","29,750","9,455","18,738","10,595","66,189",Y,11,"1,902","19,238","2,454",48
Tye Preston Memorial Library,"32,861",07-01-2022,06/30/2023,Canyon Lake,(830) 964-3744,"$6,93,032.00","$60,002.00","$40,468.00","$12,50,411.00","$12,50,411.00",Y,Y,"42,280","2,063","40,036","12,852","1,05,786","81,843","12,030","65,996","25,214","1,40,563",Y,31,"5,529","34,173","2,958",52
Dimmit County Public Library,"8,387",01-01-2023,12/31/2023,Carrizo Springs,(830) 876-5788,"$87,815.00","$17,484.00","$2,125.00",$0.00,$0.00,Y,Y,"26,333",258,0,0,"27,153","22,687","8,772","10,589",0,"15,452",Y,24,"6,599",0,"1,918",52
Carrollton Public Library,"1,64,786",10-01-2022,09/30/2023,Carrollton,(972) 466-4800,"$25,04,036.00","$2,41,970.00","$1,76,302.00",$0.00,$0.00,Y,Y,"1,28,782","4,292","2,40,551","2,11,870","5,93,494","1,60,189","35,224","3,09,494","82,419","9,52,260",Y,86,"26,801","3,32,195","2,392",52
Sammy Brown Library,"22,677",01-01-2023,12/31/2023,Carthage,(903) 693-6741,"$3,94,994.00","$20,488.00","$3,500.00",$0.00,$0.00,Y,Y,"31,330","1,805","48,900","15,198","99,776","40,873","6,562","27,253","8,492","48,370",Y,6,"11,024","15,236","2,424",52
Traphene Hickman Library,"48,341",10-01-2022,09/30/2023,Cedar Hill,(972) 291-7323,"$9,76,985.00","$56,500.00","$68,216.00","$1,50,000.00","$1,50,000.00",Y,Y,"34,327","1,932","5,737","7,270","52,320","1,10,460","28,472","61,253","19,786","1,24,136",Y,28,"6,302","35,211","2,800",52
Cedar Park Public Library,"77,912",10-01-2022,09/30/2023,Cedar Park,(512) 401-5600,"$18,08,315.00","$1,56,625.00","$1,50,726.00","$15,281.00","$81,960.00",Y,Y,"1,11,537","7,153","43,108","29,456","2,00,396","2,75,398","32,834","4,27,784","97,901","9,03,619",Y,30,"25,619",0,"3,437",52
Celina Public Library,"36,650",10-01-2022,09/30/2023,Celina,(972) 382-8655,"$3,20,795.00","$24,466.00","$1,500.00",$0.00,$0.00,Y,Y,"19,491",243,"33,025","9,425","63,446","31,243","7,152","22,897","13,546","1,17,628",Y,3,560,"13,521","3,120",52
Fannie Brown Booth Memorial Library,"5,147",10-01-2022,09/30/2023,Center,(936) 598-5522,"$47,965.00","$18,318.00","$2,066.00",$0.00,$0.00,Y,Y,"13,802",332,"21,720","3,473","40,441","5,250","3,135","5,441","1,886","12,670",Y,7,"2,200",0,"1,678",49
Chandler Public Library,"10,191",10-01-2022,09/30/2023,Chandler,(903) 849-4122,"$43,771.00","$10,000.00","$1,500.00",$0.00,"$5,000.00",Y,Y,"20,987",489,"48,485","13,802","85,352","8,500","4,742","9,750","3,925","23,234",Y,5,"2,778","6,665","1,790",52
Charlotte Public Library,"3,646",06-01-2022,07/31/2023,Charlotte,(830) 277-1212,"$56,637.00","$5,143.00",$0.00,$0.00,$0.00,Y,Y,"14,960",68,"30,829","4,292","50,491","2,400","1,531",187,0,"1,017",Y,4,600,0,"1,920",51
Chico Public Library Inc,"4,328",10-01-2022,09/30/2023,Chico,(940) 644-2330,"$50,515.00","$2,511.00","$2,400.00",$0.00,"$1,01,476.00",Y,Y,"10,966",469,"10,774","1,870","26,398","11,704","2,523","3,040","25,368","32,568",Y,6,"2,255","4,118","1,783",49
Childress Public Library,"6,809",10-01-2022,09/30/2023,Childress,(940) 937-8421,"$69,426.00","$3,600.00",$0.00,$0.00,$0.00,Y,Y,"18,684",425,"5,982","1,941","27,745","9,713","1,840","8,522",10,"16,848",Y,6,859,"5,890","1,744",52
Burton Memorial Library,"3,339",10-01-2022,09/30/2023,Clarendon,(806) 874-3685,"$70,335.00","$5,987.00",$0.00,$0.00,$0.00,Y,Y,"24,608",395,"6,160","1,940","34,803","56,110","1,430","14,560",26,"15,691",Y,6,"8,941","7,541","1,692",52
Red River County Public Library,"11,542",10-01-2022,09/30/2023,Clarksville,(903) 427-3991,"$55,281.00","$16,915.00","$3,000.00",$0.00,$0.00,Y,Y,"26,321",747,"48,447","10,206","86,737","3,968","4,812","6,159","1,521","8,777",Y,8,498,"45,600","1,547",52
Cleburne Public Library,"33,826",10-01-2022,09/30/2023,Cleburne,(817) 645-0934,"$5,46,536.00","$31,040.00","$41,261.00","$11,676.00","$11,676.00",Y,Y,"43,960","11,165","2,16,365","96,649","3,71,850","85,447","11,300","72,642","22,966","1,38,432",Y,20,"9,811",0,"2,319",52
Austin Memorial Library,"8,503",10-01-2022,09/30/2023,Cleveland,(281) 592-3920,"$3,53,957.00","$34,508.00","$13,939.00",$0.00,$0.00,Y,Y,"42,833","1,074","10,169","1,246","59,156",0,"12,337","15,486","4,131","31,480",Y,16,"5,325",0,"2,641",50
Tarkington Community Library,"10,909",10-01-2022,09/30/2023,Cleveland-Tarkington,(281) 592-5136,"$9,713.00","$2,039.00",$0.00,$0.00,$0.00,Y,Y,"14,371",1,"15,037","4,292","34,259","1,995",838,"1,553",159,"3,016",N,0,0,0,0,0
Nellie Pederson Civic Library,"3,513",10-01-2022,09/30/2023,Clifton,(254) 675-6495,"$39,735.00","$13,073.00","$1,110.00",$0.00,"$9,920.00",Y,Y,"11,723",492,"1,434",765,"15,529","8,188",680,"8,893","2,884","14,314",Y,10,931,0,"1,554",49
Clyde Public Library,"11,509",10-01-2022,09/30/2023,Clyde,(325) 893-5315,"$1,17,813.00","$7,838.00","$1,589.00",$0.00,$0.00,Y,Y,"15,374",67,"92,587","32,245","1,41,794","5,947","5,580","5,257","1,752","9,589",Y,8,597,0,"1,584",52
