Library Name,Legal Service Area (Population Assignment),Start of Local Fiscal Year (LFY),End of Local Fiscal Year (LFY),Mail City,Library Phone,Total Staff Expenditures,Print Material Expenditures,Electronic Material Expenditures,City/Library District Capital Revenue,Total Capital Revenue,Electronically Searchable  Catalog,1% of Collection Published in Last Five Years?,Books in Print,Physical Audio Items,E-books,E-Audio,Total Collection Items,Annual Library Visits,Registered Library Users,Annual Circulation: All Other Ages Physical Items,Annual Circulation: All Other Ages Digital Items,Total Annual Circulation,Public Internet Computers Available,Number of Public Internet Computers,Annual Number of Computer Uses,Annual Website Visits,Annual Number of Public Service Hours,Annual Number Public Service Weeks
Mitchell County Public Library,"8,545",01-01-2020,12/31/2020,Colorado City,3257283968,"$162,912","$10,885","$1,500",$0,"$204,504",Yes,Yes,"32,769",370,"14,256","2,856","52,366","9,383","5,311","9,129","1,219","13,872",Yes,11,"1,062","6,712","1,811",44
Nesbitt Memorial Library,"6,033",10-01-2019,09/30/2020,Columbus,9797323392,"$175,086","$16,835","$3,552","$258,745","$297,092",Yes,Yes,"29,116","1,087","12,140","3,042","46,881","27,909","3,041","11,433","3,115","23,049",Yes,13,"4,126","14,900","1,164",43
Comanche Public Library,"8,949",10-01-2019,09/30/2020,Comanche,3253562122,"$123,333","$7,625","$2,303","$76,645","$184,775",Yes,Yes,"19,953",173,"6,400","1,625","28,151","10,480","3,772","4,908","1,478","8,146",Yes,10,"2,463",0,"1,493",40
Comfort Public Library,"15,796",01-01-2020,12/31/2020,Comfort,8309952398,"$108,226","$11,131","$4,133",$0,"$173,993",Yes,Yes,"23,161",506,"22,301","3,579","50,810","9,016","2,235","6,140","2,571","14,328",Yes,19,574,"13,802","1,376",45
Commerce Public Library,"22,153",10-01-2019,09/30/2020,Commerce,9038866858,"$80,805","$6,316","$4,088","$43,500","$106,576",Yes,Yes,"21,203",918,"28,464","5,826","57,246","7,102","10,712","2,704","2,976","11,154",Yes,6,"1,437",0,"1,299",39
Montgomery County Memorial Library System,"6,01,609",10-01-2019,09/30/2020,Conroe,9367888377,"$8,279,931","$628,538","$312,762",$0,"$10,205,959",Yes,Yes,"5,65,164","41,484","4,93,725","4,03,230","15,62,075","4,98,055","3,12,479","8,10,628","4,05,091","19,73,871",Yes,231,"54,113","7,72,009","2,415",45
George & Cynthia Woods Mitchell Library,,,,The Woodlands,9364427728,,,,,,,,,,,,,,,,,,,,,,2410,45
Malcolm Purvis Library-Magnolia,,,,Magnolia,9364427704,,,,,,,,,,,,,,,,,,,,,,2119,45
Charles B Stewart-West Branch Library,,,,Montgomery,9364427718,,,,,,,,,,,,,,,,,,,,,,2242,45
RB Tullis Library,,,,New Caney,9364427705,,,,,,,,,,,,,,,,,,,,,,2284,45
South Regional Library,,,,The Woodlands,9364427727,,,,,,,,,,,,,,,,,,,,,,2373,43
RF Meador Branch Library,,,,Willis,9364427740,,,,,,,,,,,,,,,,,,,,,,2162,45
Copperas Cove Public Library,"33,235",10-01-2019,09/30/2020,Copperas Cove,2545473826,"$316,490","$18,074","$7,445","$480,073","$484,852",Yes,Yes,"45,133","1,972","22,939","6,143","79,514","45,716","14,733","32,700","9,255","70,198",Yes,23,"13,463","33,002","1,920",40
Corpus Christi Public Libraries,"3,26,586",10-01-2019,09/30/2020,Corpus Christi,3618267070,"$2,309,320","$159,642","$205,532","$4,338,795","$4,359,597",Yes,Yes,"3,57,802","14,584","16,543","19,273","4,33,656","3,32,886","99,935","2,06,611","49,126","4,38,265",Yes,95,"99,679","12,45,427","1,161",27
Dr Clotilde P Garcia Public Library,,,,Corpus Christi,3618262360,,,,,,,,,,,,,,,,,,,,,,2860,52
Anita & WT Neyland Public Library,,,,Corpus Christi,3618262370,,,,,,,,,,,,,,,,,,,,,,2924,52
Ben F McDonald Public Library,,,,Corpus Christi,3618262356,,,,,,,,,,,,,,,,,,,,,,2860,52
Owen R Hopkins Public Library,,,,Corpus Christi,3618262350,,,,,,,,,,,,,,,,,,,,,,2860,52
Janet F Harte Public Library,,,,Corpus Christi,3618262310,,,,,,,,,,,,,,,,,,,,,,2236,52
Mickey Reily Public Library,"1,611",10-01-2019,09/30/2020,Corrigan,9363984156,"$99,577","$6,368",$0,"$140,425","$144,392",Yes,Yes,"23,080",795,0,0,"24,811","3,745","4,955","1,625",0,"1,824",Yes,10,"1,714",0,"1,387",38
Corsicana Public Library,"50,113",10-01-2019,09/30/2020,Corsicana,9036544810,"$351,109","$36,089","$6,000","$502,031","$538,900",Yes,Yes,"76,511","2,163","33,146","6,197","1,21,827","40,882","24,808","32,798","8,700","55,816",Yes,9,"4,831",0,"1,619",40
Alexander Memorial Library,"7,520",01-01-2020,12/31/2020,Cotulla,8308792601,"$76,665","$3,500","$1,023","$60,000","$130,309",Yes,Yes,"15,849",151,"12,670","2,429","32,477","3,235","3,595","16,228","18,162","37,083",Yes,6,"1,749",0,"1,230",41
LaSalle County Library,,,,Encinal,9566256494,,,,,,,,,,,,,,,,,,,,,,2945,52
Crane County Library,"4,797",10-01-2019,09/30/2020,Crane,4325581142,"$206,110","$11,652","$1,850",$0,"$280,481",Yes,Yes,"18,578",450,"18,428","2,786","42,224","7,200","1,112","3,600",509,"6,933",Yes,11,"1,560",0,"1,744",46
JH Wootters Crockett Public Library,"6,385",10-01-2019,09/30/2020,Crockett,9365443089,"$112,923","$32,500","$4,191","$138,360","$199,256",Yes,Yes,"49,024",803,"18,196","1,603","71,995","16,258","8,000","28,333","2,231","36,295",Yes,14,"13,325","16,258","1,919",24
Crosby County Library,"5,737",10-01-2019,09/30/2020,Crosbyton,8066752673,"$75,970","$3,467","$1,500","$5,635","$101,755",Yes,Yes,"25,045",432,"24,262","2,358","52,217","4,596","1,787","5,054",910,"7,430",Yes,19,676,0,"1,168",46
Lorenzo Library,,,,Lorenzo,8066345639,,,,,,,,,,,,,,,,,,,,,,820,51
Ralls Library,,,,Ralls,8062532755,,,,,,,,,,,,,,,,,,,,,,1554,51
Cross Plains Public Library,"2,859",01-01-2020,12/31/2020,Cross Plains,2547257722,"$11,339","$2,170","$1,375","$6,000","$28,460",Yes,Yes,"18,171",761,"14,419","2,868","36,861","2,104","4,013","1,347",0,"1,866",Yes,6,264,0,878,42
Cuero Public Library,"8,236",10-01-2019,09/30/2020,Cuero,3612752864,"$162,358","$19,646","$1,500","$212,545","$216,332",Yes,Yes,"9,591",668,74,0,"11,518","12,071","3,193","13,262","2,035","23,471",Yes,16,"3,294",0,"1,989",48
Daingerfield Public Library,"2,380",10-01-2019,09/30/2020,Daingerfield,9036452823,"$55,339","$5,694",$0,"$73,308","$75,453",Yes,Yes,"13,700",526,0,0,"14,833","3,575","4,025","8,893",0,"10,143",Yes,5,"2,995",0,844,23
Dallam-Hartley County Library,"12,823",10-01-2019,09/30/2020,Dalhart,8062442761,"$110,000","$6,008",$0,$0,"$153,787",Yes,Yes,"20,008","1,001","5,718","1,464","29,513","5,668","2,108","7,091","1,432","11,724",Yes,5,"1,308","4,655","1,729",39
Dallas Public Library,"13,43,573",10-01-2019,09/30/2020,Dallas,2146701400,"$17,468,029","$2,520,134","$1,153,500","$27,975,416","$28,586,939",Yes,Yes,"18,53,735","1,50,308","5,87,336","1,51,010","30,77,262","12,67,925","6,98,453","19,87,305","6,09,104","37,04,211",Yes,611,"1,86,057",0,"1,871",39
Arcadia Park Branch Library,,,,Dallas,2146706446,,,,,,,,,,,,,,,,,,,,,,2993,52
Grauwyler Park Branch Library,,,,Dallas,2146716421,,,,,,,,,,,,,,,,,,,,,,2644,52
Timberglen Branch Library,,,,Dallas,2146711365,,,,,,,,,,,,,,,,,,,,,,2644,52
Bookmarks @ NorthPark Center,,,,Dallas,2146711381,,,,,,,,,,,,,,,,,,,,,,2252,52
Prairie Creek Branch Library,,,,Dallas,2146710410,,,,,,,,,,,,,,,,,,,,,,2644,52
White Rock Hills Branch Library,,,,Dallas,2146708443,,,,,,,,,,,,,,,,,,,,,,2928,52
Audelia Road Branch Library,,,,Dallas,2146701350,,,,,,,,,,,,,,,,,,,,,,2928,52
Lochwood Branch Library,,,,Dallas,2146708403,,,,,,,,,,,,,,,,,,,,,,2644,52
Forest Green Branch Library,,,,Dallas,2146701335,,,,,,,,,,,,,,,,,,,,,,2644,52
Fretz Park Branch Library,,,,Dallas,2146706421,,,,,,,,,,,,,,,,,,,,,,2644,46
Hampton-Illinois Branch Library,,,,Dallas,2146707646,,,,,,,,,,,,,,,,,,,,,,3357,52
Highland Hills Branch Library,,,,Dallas,2146700987,,,,,,,,,,,,,,,,,,,,,,2644,52
Lakewood Branch Library,,,,Dallas,2146701376,,,,,,,,,,,,,,,,,,,,,,2644,52
Paul Laurence Dunbar Lancaster-Kiest Branch Library,,,,Dallas,2146701952,,,,,,,,,,,,,,,,,,,,,,2928,52
Martin Luther King Jr Library/Learning Center,,,,Dallas,2146700344,,,,,,,,,,,,,,,,,,,,,,2644,52
North Oak Cliff Branch Library,,,,Dallas,2146707555,,,,,,,,,,,,,,,,,,,,,,2928,52
Oak Lawn Branch Library,,,,Dallas,2146701359,,,,,,,,,,,,,,,,,,,,,,2928,52
Park Forest Branch Library,,,,Dallas,2146706333,,,,,,,,,,,,,,,,,,,,,,2644,52
Pleasant Grove Branch Library,,,,Dallas,2146700965,,,,,,,,,,,,,,,,,,,,,,2928,52
Polk-Wisdom Branch Library,,,,Dallas,2146701947,,,,,,,,,,,,,,,,,,,,,,2928,52
Preston Royal Branch Library,,,,Dallas,2146707128,,,,,,,,,,,,,,,,,,,,,,2928,52
Renner Frankford Branch Library,,,,Dallas,2146706100,,,,,,,,,,,,,,,,,,,,,,2928,52
Skyline Branch Library,,,,Dallas,2146700938,,,,,,,,,,,,,,,,,,,,,,2644,52
Bachman Lake Branch Library,,,,Dallas,2146706376,,,,,,,,,,,,,,,,,,,,,,2928,52
Dallas West Branch Library,,,,Dallas,2146706445,,,,,,,,,,,,,,,,,,,,,,2928,52
Mountain Creek Branch Library,,,,Dallas,2146706704,,,,,,,,,,,,,,,,,,,,,,2644,52
Kleberg-Rylie Branch Library,,,,Dallas,2146708471,,,,,,,,,,,,,,,,,,,,,,2644,52
Skillman Southwestern Branch Library,,,,Dallas,2146706078,,,,,,,,,,,,,,,,,,,,,,2644,52
Jones Public Library,"8,389",10-01-2019,09/30/2020,Dayton,9362587060,"$180,971","$14,550","$2,500","$249,823","$252,882",Yes,Yes,"20,014",963,"1,980",424,"24,315","27,074","5,260","8,055","2,367","15,275",Yes,29,"2,869","5,409","1,310",31
DeLeon City County Library,"4,686",01-01-2020,12/31/2020,De Leon,2548932417,"$33,863","$4,778","$1,500","$32,000","$58,603",Yes,Yes,"8,496",324,"15,554","3,002","28,482","5,415","2,112","4,375","1,428","6,287",Yes,8,"1,754",0,"1,416",35
Decatur Public Library,"25,364",10-01-2019,09/30/2020,Decatur,9403930290,"$437,557","$34,205","$6,165","$523,862","$573,111",Yes,Yes,"42,818","2,049","22,035","7,924","77,818","49,470","16,774","16,402","11,068","43,959",Yes,8,"6,534","35,257","1,438",41
Deer Park Public Library,"33,474",10-01-2019,09/30/2020,Deer Park,2814787208,"$832,689","$65,036","$52,312","$1,048,531","$1,050,483",Yes,Yes,"73,557","1,158","45,083","17,107","1,43,150","26,770","42,066","30,177","25,202","82,506",Yes,34,"7,972","21,369","1,522",34
Val Verde County Library,"49,025",10-01-2019,09/30/2020,Del Rio,8307747595,"$548,796","$67,734","$13,259",$0,"$675,390",Yes,Yes,"49,440","1,558","4,74,704","4,01,051","9,46,955","31,395","24,878","22,336","3,826","45,135",Yes,29,"14,390",0,"1,858",44
Denison Public Library,"25,529",10-01-2019,09/30/2020,Denison,9034651797,"$592,421","$46,442","$5,192","$726,570","$820,490",Yes,Yes,"27,829",773,"33,383","6,338","70,890","45,547","6,264","20,243","8,320","54,264",Yes,24,"13,090","34,013","2,240",49
Denton Public Library,"1,41,541",10-01-2019,09/30/2020,Denton,9403498750,"$3,882,313","$186,414","$275,936","$6,194,023","$6,321,314",Yes,Yes,"1,86,778","17,387","9,845","5,511","2,52,578","2,38,578","87,840","3,62,442","1,48,981","8,80,211",Yes,127,"36,153",0,"1,941",42
Denton Public Library South Branch,,,,Denton,9403498752,,,,,,,,,,,,,,,,,,,,,,1869,42
Denton Public Library North Branch,,,,Denton,9403498752,,,,,,,,,,,,,,,,,,,,,,2071,42
Yoakum County/Cecil Bickley Library,"5,307",01-01-2020,12/31/2020,Denver City,8065922754,"$237,128","$16,201",$631,$0,"$292,095",Yes,Yes,"45,570","1,584","18,589","2,771","72,645","17,162","5,679","6,055","2,204","13,952",Yes,10,"1,427","4,993","1,862",43
Driscoll Public Library,"4,829",10-01-2019,09/30/2020,Devine,8306632993,"$89,133","$4,590","$1,000","$139,748","$162,275",Yes,Yes,"14,950",549,"15,477","3,355","36,430","8,628","1,733","5,070","1,707","11,666",Yes,11,"2,312",0,920,23
TLL Temple Memorial Library & Archives,"5,204",01-01-2020,12/31/2020,Diboll,9368295497,"$266,175","$14,033","$1,570","$18,000","$423,055",Yes,Yes,"43,015",938,"18,824","2,276","67,032","4,273","7,560","5,822","4,121","15,117",Yes,14,606,0,"2,000",50
Dickinson Public Library,"24,531",10-01-2019,09/30/2020,Dickinson,2815343812,"$306,862","$24,593","$6,124","$390,667","$429,620",Yes,Yes,"34,856","1,358","18,196","1,603","59,112","25,830","16,983","15,995","3,213","30,030",Yes,16,"6,106","17,814","1,569",41
Rhoads Memorial Library,"7,530",10-01-2019,09/30/2020,Dimmitt,8066473532,"$82,715","$7,732","$5,657","$62,000","$127,569",Yes,Yes,"21,124","3,674","5,718","1,464","33,164","6,839","1,768","4,030",322,"5,459",Yes,7,"3,230","1,421","1,594",41
Donna Public Library,"24,911",10-01-2019,09/30/2020,Donna,9564642221,"$260,468","$12,750","$9,300","$346,372","$361,331",Yes,Yes,"51,355",71,"76,222","15,217","1,44,322","20,101","1,969","1,029",850,"13,523",Yes,26,"16,565",0,"1,480",40
Dublin Public Library,"3,553",10-01-2019,09/30/2020,Dublin,2544454141,"$94,358","$1,746","$3,295","$128,778","$133,803",Yes,Yes,"17,780",808,"22,186","8,035","51,002","6,268","5,741","10,795","2,035","15,470",Yes,41,"1,155","13,883",899,24
Killgore Memorial Library,"20,940",10-01-2019,09/30/2020,Dumas,8069354941,"$451,447","$24,006","$4,562",$0,"$603,095",Yes,Yes,"38,049","2,314","5,718","1,464","59,205","31,838","2,279","11,602","1,566","24,334",Yes,22,"1,774","6,040","1,519",37
Cactus Branch Library,,,,Cactus,8069663706,,,,,,,,,,,,,,,,,,,,,,1138,37
Britain Memorial Library,,,,Sunray,8069485501,,,,,,,,,,,,,,,,,,,,,,1220,37
Duncanville Public Library,"38,751",10-01-2019,09/30/2020,Duncanville,9727805050,"$743,791","$64,150","$7,951","$955,127","$957,472",Yes,Yes,"92,355","5,105","21,750","3,525","1,30,076","82,789","37,565","29,121","7,921","61,685",Yes,22,"29,006","69,855","1,867",43
Eula & David Wintermann Library,"6,250",07-01-2019,06/30/2020,Eagle Lake,9792345411,"$82,727","$8,085","$1,515","$7,250","$138,658",Yes,Yes,"27,585","1,704","15,215","1,623","46,771","4,840","4,589","3,133",45,"5,106",Yes,11,"1,420",0,"1,864",44
Eagle Pass Public Library,"44,363",10-01-2019,09/30/2020,Eagle Pass,8307737323,"$545,055","$4,912","$7,937","$604,617","$630,018",Yes,Yes,"34,117",0,"15,477","3,355","53,199","21,753","7,084","5,033","1,547","13,230",Yes,62,"6,295",0,"1,200",26
Eagle Pass Public Children`s Library,,,,Eagle Pass,8307737323,,,,,,,,,,,,,,,,,,,,,,1200,26
Loma de la Cruz Branch Library,,,,Eagle Pass,8307735737,,,,,,,,,,,,,,,,,,,,,,0,
Roy P Benavidez,,,,Eagle Pass,8307732821,,,,,,,,,,,,,,,,,,,,,,0,0
San Luis Branch Library,,,,Eagle Pass,8307576449,,,,,,,,,,,,,,,,,,,,,,0,0
Centennial Memorial Library,"3,850",01-01-2020,12/31/2020,Eastland,2546292281,"$24,029","$6,755","$1,125","$24,000","$40,869",Yes,Yes,"14,343",489,"28,135","3,638","47,294","3,419","2,816","4,674",208,"6,076",Yes,7,509,0,916,44
Dustin Michael Sekula Memorial Library,"1,54,259",10-01-2019,09/30/2020,Edinburg,9563836246,"$1,556,413","$61,678","$17,119","$1,805,566","$1,823,122",Yes,Yes,"1,06,907","1,874","9,761","11,222","1,38,872","1,24,347","1,48,913","63,224","3,928","1,11,210",Yes,90,"64,342","2,03,790","2,492",44
Jackson County Memorial Library,"14,760",10-01-2019,09/30/2020,Edna,3617822162,"$132,853","$32,969","$2,205",$0,"$206,291",Yes,Yes,"24,672","1,897","22,716","3,756","54,340","16,075","3,897","10,047","3,263","23,730",Yes,11,"2,440","16,578","1,610",41
El Paso Public Library,"6,81,728",09-01-2019,08/31/2020,El Paso,9152127323,"$5,463,802","$609,466","$411,044","$7,222,697","$7,357,670",Yes,Yes,"6,54,010","29,866","48,177","9,554","8,22,483","6,83,888","1,57,228","5,01,005","1,81,722","11,53,883",Yes,683,"2,25,967","4,71,674","1,596",28
Clardy Fox Branch Library,,,,El Paso,9152120456,,,,,,,,,,,,,,,,,,,,,,2496,52
Judge Edward S Marquez Mission Valley Branch,,,,El Paso,9152120600,,,,,,,,,,,,,,,,,,,,,,2496,52
Memorial Park Branch Library,,,,El Paso,9155661034,,,,,,,,,,,,,,,,,,,,,,2496,52
Westside Branch Library,,,,El Paso,9152120445,,,,,,,,,,,,,,,,,,,,,,2496,52
Sergio Troncoso Branch Library,,,,El Paso,9152120453,,,,,,,,,,,,,,,,,,,,,,2496,52
Bookmobile - El Paso Public Library,,,,El Paso,9155435412,,,,,,,,,,,,,,,,,,,,,,891,52
Irving Schwartz Branch Library,,,,El Paso,9152120315,,,,,,,,,,,,,,,,,,,,,,2496,52
Jenna Welch & Laura Bush Community Library,,,,El Paso,9158318840,,,,,,,,,,,,,,,,,,,,,,3402,49
Dorris Van Doren Regional Branch Library,,,,El Paso,9152123560,,,,,,,,,,,,,,,,,,,,,,2496,52
Esperanza Acosta Moreno Regional Branch Library,,,,El Paso,9152120442,,,,,,,,,,,,,,,,,,,,,,2496,52
Jose Cisneros Cielo Vista Branch Library,,,,El Paso,9152122203,,,,,,,,,,,,,,,,,,,,,,2496,52
Kidsmobile,,,,El Paso,9152123203,,,,,,,,,,,,,,,,,,,,,,0,52
Armijo Branch Library,,,,El Paso,9152120369,,,,,,,,,,,,,,,,,,,,,,2496,52
Richard Burges Regional Branch Library,,,,El Paso,9152120317,,,,,,,,,,,,,,,,,,,,,,2496,52
Schleicher County Public Library,"2,793",01-01-2020,12/31/2020,Eldorado,3258533767,"$28,148","$8,075","$1,500","$1,000","$53,497",Yes,Yes,"15,233",413,"6,579",747,"24,853","6,269","1,173","3,388",215,"6,545",Yes,8,427,"1,352",845,47
Electra Public Library,"2,730",10-01-2019,09/30/2020,Electra,9404952208,"$82,353","$2,804","$1,000","$97,964","$97,964",Yes,Yes,"20,394","1,449","9,318",518,"37,303","2,752","1,096","19,513","22,172","44,469",Yes,16,"1,255",0,"1,804",46
Elsa Public Library,"10,939",10-01-2019,09/30/2020,Elsa,9562623061,"$152,518","$7,000",$500,"$258,187","$297,231",Yes,Yes,"23,121",485,"9,751","11,222","45,105","8,609",239,500,25,"5,560",Yes,35,"4,394",0,504,11
Rains County Public Library,"12,514",10-01-2019,09/30/2020,Emory,9034735096,"$101,359","$9,180","$3,000",$0,"$130,507",Yes,Yes,"21,393","1,458","33,147","6,197","64,521","14,590","9,343","19,964","3,933","27,987",Yes,9,"2,066",0,"1,804",44
Ennis Public Library,"20,357",10-01-2019,09/30/2020,Ennis,9728755360,"$395,256","$29,465","$3,000","$541,123","$563,860",Yes,Yes,"26,586",971,"28,483","5,828","63,496","36,049","13,399","28,987","5,484","54,910",Yes,15,"5,803","17,692","1,846",42
Euless Public Library,"57,197",10-01-2019,09/30/2020,Euless,8176851480,"$1,421,072","$72,333","$52,577","$1,863,576","$1,863,576",Yes,Yes,"54,310","3,211","1,33,244","41,359","2,38,620","34,732","29,705","82,101","31,745","1,93,630",Yes,12,"6,292",0,"1,820",28
Fairfield Library,"8,900",01-01-2020,12/31/2020,Fairfield,9033893574,"$53,163","$5,042","$1,500","$33,000","$73,487",Yes,Yes,"21,706",280,"23,857","5,629","52,223","5,514","2,623","3,908","3,117","10,718",Yes,25,892,0,360,12
Ed Rachal Memorial Library,"7,093",10-01-2019,09/30/2020,Falfurrias,3613252144,"$36,541","$2,629",$0,$0,"$67,912",Yes,Yes,"39,602",0,0,0,"39,602","10,127","8,313","9,598",0,"10,177",Yes,15,"4,974",0,"2,080",42
Farmers Branch Manske Public Library,"48,158",10-01-2019,09/30/2020,Farmers Branch,9722472511,"$698,597","$106,044","$75,878","$1,689,195","$1,704,610",Yes,Yes,"84,618","4,926","5,20,856","1,36,685","7,75,275","92,036","16,253","67,208","22,461","1,54,133",Yes,37,"17,552","95,853","2,747",45
Charles J Rike Memorial Library,"4,099",10-01-2019,09/30/2020,Farmersville,9727826681,"$95,237","$6,633",$0,"$119,052","$150,496",Yes,Yes,"21,153","1,712",0,0,"25,956","4,547","5,789","7,597",0,"8,642",Yes,8,"1,055",0,"1,115",41
Ferris Public Library,"2,972",10-01-2019,09/30/2020,Ferris,9725443696,"$122,112","$10,843","$1,500","$202,968","$202,968",Yes,Yes,"17,333",354,"26,228","4,481","50,837","5,679","1,653","4,457","2,017","10,981",Yes,23,"2,736",0,867,23
Florence Public Library,"1,274",10-01-2019,09/30/2020,Florence,2547932672,"$13,234","$2,013",$0,"$5,000","$38,726",Yes,Yes,"8,797",5,"6,295",125,"15,280","2,727",501,"1,369",5,"1,769",Yes,6,410,0,"1,022",31
Wilson County Public Libraries,"51,070",10-01-2019,09/30/2020,Floresville,8303937361,"$349,699","$32,686","$17,447","$1,325","$460,786",Yes,Yes,"58,305","3,458","16,595","3,458","88,474","64,236","25,863","29,732","12,470","76,095",Yes,39,"4,512","71,978","1,390",32
Sarah Bain Chandler Library,,,,Stockdale,8309963114,,,,,,,,,,,,,,,,,,,,,,1820,52
McCallum LaVernia Library,,,,La Vernia,8302531429,,,,,,,,,,,,,,,,,,,,,,1820,52
Wilson County Historical Commission Archive,,,,Floresville,8303937361,,,,,,,,,,,,,,,,,,,,,,1040,52
Floyd County Library,"5,712",10-01-2019,09/30/2020,Floydada,8069834922,"$65,147","$9,840",$0,$0,"$97,529",Yes,Yes,"24,449",112,0,0,"25,185","14,988","2,940","6,013",0,"8,026",Yes,6,282,0,"1,628",40
Floyd County Branch Library,,,,Lockney,8066523561,,,,,,,,,,,,,,,,,,,,,,814,40
Jeff Davis County Library,"2,274",01-01-2020,12/31/2020,Fort Davis,4324263802,"$73,644","$14,374","$2,250",$0,"$109,501",Yes,Yes,"13,641","1,101","6,295",125,"24,545","4,373",811,"9,488",23,"11,209",Yes,13,609,"1,571","2,064",52
Fort Stockton Public Library,"12,360",01-01-2020,12/31/2020,Fort Stockton,4323363374,"$346,400","$18,022","$3,105","$5,000","$387,053",Yes,Yes,"58,340","1,900",35,303,"64,104","39,659","9,984","15,875",259,"26,658",Yes,12,"15,343","25,850","1,849",44
Fort Worth Public Library,"9,09,585",10-01-2019,09/30/2020,Fort Worth,8173927323,"$12,925,248","$575,695","$1,376,724","$23,451,524","$23,568,454",Yes,Yes,"7,19,680","75,403","71,014","42,897","10,76,339","6,50,131","5,76,567","8,70,835","7,44,425","27,36,646",Yes,445,"1,07,371","4,48,959","1,394",24
East Berry Branch Library,,,,Fort Worth,8173925470,,,,,,,,,,,,,,,,,,,,,,1250,24
Meadowbrook Library,,,,Fort Worth,8173926621,,,,,,,,,,,,,,,,,,,,,,1250,24
Northside Branch Library,,,,Fort Worth,8173926641,,,,,,,,,,,,,,,,,,,,,,1250,24
Ridglea Branch Library,,,,Fort Worth,8173926631,,,,,,,,,,,,,,,,,,,,,,1787,39
Riverside Branch Library,,,,Fort Worth,8173925560,,,,,,,,,,,,,,,,,,,,,,1250,24
Seminary South Branch Library,,,,Fort Worth,8173925490,,,,,,,,,,,,,,,,,,,,,,1787,39
Shamblee Branch Library,,,,Fort Worth,8173925580,,,,,,,,,,,,,,,,,,,,,,1250,24
Southwest Regional Branch Library,,,,Fort Worth,8173925860,,,,,,,,,,,,,,,,,,,,,,2005,41
Wedgwood Branch Library,,,,Fort Worth,8173925480,,,,,,,,,,,,,,,,,,,,,,1250,24
Diamond Hill/Jarvis Branch Library,,,,Fort Worth,8173926010,,,,,,,,,,,,,,,,,,,,,,1787,24
East Regional Branch Library,,,,Fort Worth,8173925550,,,,,,,,,,,,,,,,,,,,,,2005,41
Summerglen Branch Library,,,,Fort Worth,8173925970,,,,,,,,,,,,,,,,,,,,,,1861,41
Northwest Branch Library,,,,Fort Worth,8173925420,,,,,,,,,,,,,,,,,,,,,,1787,39
Cambridge Court Branch Library,,,,Fort Worth,8173922369,,,,,,,,,,,,,,,,,,,,,,765,24
Golden Triangle Branch Library,,,,Fort Worth,8173927210,,,,,,,,,,,,,,,,,,,,,,204,6
Robertson County Library,"4,033",01-01-2020,12/31/2020,Franklin,9798284331,"$45,050","$7,500","$1,500","$45,050","$92,556",Yes,Yes,"13,253",97,"21,448","5,550","40,672","6,000","2,300","4,000",560,"6,560",Yes,6,"1,300",0,"1,840",47
Pioneer Memorial Library,"26,295",10-01-2019,09/30/2020,Fredericksburg,8309976513,"$292,496","$17,365","$3,000",$0,"$341,744",Yes,Yes,"29,645","1,212","16,879","4,257","53,925","28,112","7,378","22,444","3,873","34,566",Yes,9,"6,487",0,"1,681",43
Friendswood Public Library,"44,926",10-01-2019,09/30/2020,Friendswood,2814827135,"$1,022,130","$85,275","$44,973","$1,221,641","$1,301,623",Yes,Yes,"86,723","6,670","52,735","19,374","1,72,525","1,13,398","57,506","1,07,158","57,070","2,55,509",Yes,16,"9,830","1,65,273","1,757",33
Friona Public Library,"3,808",10-01-2019,09/30/2020,Friona,8062503200,"$105,456","$27,763","$6,338","$177,590","$178,157",Yes,Yes,"32,054","1,573","5,718","1,464","41,968","4,705","2,534","2,824",863,"6,129",Yes,13,747,"2,575","1,464",40
Cooke County Library,"38,003",10-01-2019,09/30/2020,Gainesville,9406685530,"$336,675","$43,000","$9,557",$0,"$495,802",Yes,Yes,"48,073","2,723","2,824","9,044","66,889","24,884","10,810","43,413","3,917","71,041",Yes,26,"5,301","31,022","2,162",32
Rosenberg Library,"58,568",10-01-2019,09/30/2020,Galveston,4097638854,"$2,438,142","$172,771","$151,655","$3,046,312","$4,558,236",Yes,Yes,"1,00,656","5,750","61,099","60,035","2,52,639","1,64,357","20,089","93,705","75,608","2,47,204",Yes,93,"32,590","2,68,981","2,436",41
Nicholson Memorial Library System,"2,39,928",10-01-2019,09/30/2020,Garland,9722052548,"$4,362,076","$395,858","$458,823","$5,838,946","$5,844,724",Yes,Yes,"2,32,874","7,488","67,546","26,394","3,66,532","2,29,977","1,69,597","3,16,090","2,29,869","8,48,914",Yes,196,"49,713","85,853","2,236",39
Walnut Creek Branch Library,,,,Garland,9722052543,,,,,,,,,,,,,,,,,,,,,,1227,39
North Garland Branch Library,,,,Garland,9722052543,,,,,,,,,,,,,,,,,,,,,,1227,39
South Garland Branch Library,,,,Garland,9722052543,,,,,,,,,,,,,,,,,,,,,,1227,39
Garwood Memorial Library,"3,793",01-01-2020,12/31/2020,Garwood,9797583242,"$1,695",$277,$0,$0,"$6,962",No,Yes,"8,125",30,0,0,"8,503",256,786,108,0,408,Yes,3,0,0,150,22
