Library Name,Legal Service Area (Population Assignment),Start of Local Fiscal Year (LFY),End of Local Fiscal Year (LFY),Mail City,Library Phone,Total Staff Expenditures,Print Material Expenditures,Electronic Material Expenditures,City/Library District Capital Revenue,Total Capital Revenue,Electronically Searchable  Catalog,1% of Collection Published in Last Five Years?,Books in Print,Physical Audio Items,E-books,E-Audio,Total Collection Items,Annual Library Visits,Registered Library Users,Annual Circulation: All Other Ages Physical Items,Annual Circulation: All Other Ages Digital Items,Total Annual Circulation,Public Internet Computers Available,Number of Public Internet Computers,Annual Number of Computer Uses,Annual Website Visits,Annual Number of Public Service Hours,Annual Number Public Service Weeks
Cisco Public Library,"6,510",01-01-2018,12/31/2018,Cisco,2544421020,"$6,719",$0,$0,"$3,600","$8,600",Yes,Yes,"17,000",0,0,0,"17,000",0,119,"1,176",0,"1,326",Yes,1,295,0,780,52
Clyde Public Library,"8,487",10-01-2017,9/30/2018,Clyde,3258935315,"$73,819","$8,636","$1,231","$98,015","$104,056",Yes,Yes,"16,167",455,"7,483","1,484","28,021","9,653","4,833","10,174","1,609","16,455",Yes,10,"1,866",0,"1,664",52
Coleman Public Library,"8,430",10-01-2017,9/30/2018,Coleman,3256253043,"$88,504","$12,613","$1,690","$133,416","$150,845",Yes,Yes,"27,802","1,011","6,277","1,339","38,318","29,070","9,845","22,394","31,184","60,101",Yes,35,"12,989",0,"1,665",52
Mitchell County Public Library,"8,468",01-01-2018,12/31/2018,Colorado City,3257283968,"$154,973","$7,836","$1,500",$0,"$189,663",Yes,Yes,"33,872",606,904,205,"37,302","32,557","6,407","18,382","1,095","24,488",Yes,12,"2,527","4,072","1,772",46
Comanche Public Library,"8,942",10-01-2017,9/30/2018,Comanche,3253562122,"$124,843","$2,226","$1,200","$71,196","$142,393",Yes,Yes,"20,291",89,"6,259","1,546","28,185","12,136","3,560","6,220","3,081","11,762",Yes,10,"4,452",0,"1,620",47
Cross Plains Public Library,"2,158",01-01-2018,12/31/2018,Cross Plains,2547257722,"$13,155","$6,063",$0,"$5,250","$27,142",Yes,Yes,"18,469",684,0,0,"19,471","3,926","2,212","2,975",0,"3,825",Yes,9,509,0,988,52
DeLeon City County Library,"4,631",01-01-2018,12/31/2018,De Leon,2548932417,"$33,108","$5,263","$1,500","$33,260","$58,793",Yes,Yes,"8,707",320,"5,981","1,758","17,781","14,528","2,117","10,736",895,"13,130",Yes,10,"4,358",0,"1,998",52
Centennial Memorial Library,"3,934",01-01-2018,12/31/2018,Eastland,2546292281,"$21,488","$2,664",$0,"$19,500","$23,868",Yes,Yes,"15,003",429,0,0,"15,711","4,983","3,063","5,217",0,"6,562",Yes,7,"1,084",0,"1,180",52
Schleicher County Public Library,"3,001",01-01-2018,12/31/2018,Eldorado,3258533767,"$25,814","$7,718","$1,500","$1,000","$54,310",Yes,Yes,"14,593",419,"4,752","1,621","23,203","7,218","1,014","4,917",202,"7,455",Yes,6,846,0,"1,230",52
Haskell County Library,"5,713",10-01-2017,9/30/2018,Haskell,9408642747,"$98,494","$5,425",$0,$0,"$103,441",Yes,Yes,"13,050",386,0,0,"14,158","10,021","1,753","3,372",0,"5,810",Yes,11,"3,297",0,"1,989",50
Kent County Library,763,10-01-2017,9/30/2018,Jayton,8062373287,"$74,501","$3,705",$0,$0,"$86,941",Yes,Yes,"22,128",220,0,0,"22,361","2,230",636,"2,416",0,"4,515",Yes,3,645,0,"1,982",52
Kimble County Library,"4,410",01-01-2018,12/31/2018,Junction,3254462342,"$101,574","$14,343","$1,500","$5,403","$151,842",Yes,Yes,"14,280",632,960,210,"17,571","16,605","4,348","18,148","2,093","22,132",Yes,17,"3,807",0,"2,040",49
Mason County M Beven Eckert Memorial Library,"4,222",01-01-2018,12/31/2018,Mason,3253475446,"$95,080","$11,450","$6,250",$0,"$153,025",Yes,Yes,"10,887",945,"3,758","1,455","20,842","34,859","2,806","28,014","2,747","32,392",Yes,15,"2,892","3,709","1,970",52
Menard Public Library,"2,124",10-01-2017,9/30/2018,Menard,3253962717,"$27,892","$3,920",$0,"$10,000","$128,638",Yes,Yes,"10,034",243,"77,018",0,"88,395","10,100","1,435","4,250",55,"5,444",Yes,6,"1,830",0,"1,600",52
Merkel Public Library,"2,600",10-01-2017,9/30/2018,Merkel,3259285054,"$24,898",$836,$0,"$25,679","$25,919",Yes,Yes,"9,233",203,0,0,"10,521","3,647",804,"2,306",0,"3,598",Yes,5,"1,321",0,"1,482",52
MB Noelke Jr Memorial Library,"1,516",10-01-2017,9/30/2018,Mertzon,3258352704,"$18,381","$4,015","$1,500",$0,"$36,937",Yes,Yes,"10,933",450,"1,325",0,"12,796","2,118",431,630,23,"1,195",Yes,6,"1,759",0,980,52
Munday City-County Library,"3,710",01-01-2018,12/31/2018,Munday,9404224877,"$8,855","$1,518",$0,"$3,300","$13,603",Yes,Yes,"8,848",0,0,0,"8,848",782,267,"1,506",0,"1,990",Yes,4,154,0,839,51
Crockett County Public Library,"3,564",01-01-2018,12/31/2018,Ozona,3253923565,"$181,450","$24,641","$4,252",$0,"$236,252",Yes,Yes,"17,827","1,943","15,724","3,134","38,633","23,467","3,124","12,574",746,"18,587",Yes,14,"12,571",0,"2,572",52
Ranger City Library,"3,018",10-01-2017,9/30/2018,Ranger,2546471880,"$22,248",$977,$0,"$33,546","$35,676",Yes,Yes,"10,791",487,10,0,"11,562","4,141","1,444","1,764",0,"2,224",Yes,8,"1,767",0,"2,000",50
Coke County Library,"3,306",10-01-2017,9/30/2018,Robert Lee,3254532495,"$11,776","$2,293",$0,$0,"$19,249",Yes,Yes,"10,114",268,0,0,"10,592","1,421",139,"1,888",0,"2,264",Yes,2,390,0,"1,040",52
Rotan Public Library,"3,880",01-01-2018,12/31/2018,Rotan,3257353362,"$12,068",$95,$0,"$12,068","$18,435",Yes,Yes,"13,106",198,0,0,"14,434","1,072",762,875,0,918,Yes,8,856,0,"1,040",52
Tom Green County Library System,"1,18,019",10-01-2017,9/30/2018,San Angelo,3256557321,"$1,627,966","$290,801","$148,501",$0,"$2,476,229",Yes,Yes,"2,51,277","9,550","11,873","7,289","2,88,109","3,05,346","72,000","2,40,851","66,000","4,52,086",Yes,50,"39,187","1,52,037","3,198",49
Scurry County Library,"17,050",01-01-2018,12/31/2018,Snyder,3255735572,"$344,361","$55,897","$9,137",$0,"$469,110",Yes,Yes,"65,264","2,611","5,752","1,567","77,645","64,250","10,131","47,512","2,920","84,366",Yes,17,"9,154","25,151","2,576",52
Sutton County Library,"3,767",10-01-2017,9/30/2018,Sonora,3253872111,"$138,710","$4,397","$1,500",$0,"$184,649",Yes,Yes,"16,910","1,705","5,906",76,"24,660","9,939","2,155","2,652",509,"4,778",Yes,11,"3,234",0,"2,189",52
Stamford Carnegie Library,"2,957",10-01-2017,9/30/2018,Stamford,3257732532,"$44,760","$4,600",$0,"$74,620","$74,620",Yes,Yes,"12,693",140,0,0,"13,292","2,803","2,468",892,0,"1,524",Yes,6,965,0,"1,364",52
Sterling County Public Library,"1,295",10-01-2017,9/30/2018,Sterling City,3253782212,"$26,413","$1,435",$0,$0,"$37,371",Yes,Yes,"10,863",442,0,0,"11,747","3,797","1,153",783,0,"1,550",Yes,9,"1,450",0,"1,756",52
County-City Library,"14,770",10-01-2017,9/30/2018,Sweetwater,3252354978,"$197,972","$14,621","$3,000","$37,417","$265,063",Yes,Yes,"40,945","1,437","6,382","1,678","51,923","37,604","9,928","23,407","2,460","35,712",Yes,9,"4,885",0,"2,016",52
Depot Public Library,"1,527",09-01-2017,8/31/2018,Throckmorton,9408493076,"$9,237",$255,$0,"$2,000","$18,795",Yes,Yes,"9,777",312,0,0,"10,506","5,274",725,"3,010",0,"3,622",Yes,5,"3,310",0,"1,248",52
Winters Public Library,"4,935",01-01-2018,12/31/2018,Winters,3257544251,"$11,966","$1,872",$0,"$3,600","$22,756",Yes,Yes,"9,135",307,0,0,"9,528","8,700","2,259","1,772",0,"2,598",Yes,8,"1,800",0,"1,252",52
Amarillo Public Library,"1,99,826",10-01-2017,9/30/2018,Amarillo,8063783050,"$3,073,165","$270,296","$76,840","$3,935,174","$4,009,037",Yes,Yes,"3,85,105","16,065","5,455","1,328","4,53,658","12,29,059","67,005","11,15,977","25,487","16,52,490",Yes,91,"66,442","2,67,186","3,465",52
Booker School/Public Library,"2,559",10-01-2017,9/30/2018,Booker,8066581260,"$57,871",$861,$0,"$4,500","$77,409",Yes,Yes,"22,462",146,"5,455","1,328","29,739","11,300","1,004","5,406",728,"21,433",Yes,4,280,"38,000","2,040",49
Hutchinson County Library,"21,375",10-01-2017,9/30/2018,Borger,8062730126,"$436,455","$33,435",$0,$0,"$542,881",Yes,Yes,"52,775","1,814","5,455","1,328","62,833","62,950","7,466","25,143",786,"44,132",Yes,14,"5,390","18,440","2,221",51
Hemphill County Library,"4,024",10-01-2017,9/30/2018,Canadian,8063235282,"$205,078","$15,249","$1,872",$0,"$276,120",Yes,Yes,"39,462","3,267","5,455","1,328","52,047","38,575","2,483","13,709","1,932","29,009",Yes,8,"1,174","8,059","2,359",52
Canyon Area Library,"39,576",10-01-2017,9/30/2018,Canyon,8066555015,"$239,528","$41,850","$10,533","$399,147","$456,000",Yes,Yes,"68,036","11,741","15,455","7,328","1,13,873","46,799","11,121","33,426","3,641","1,02,793",Yes,18,"11,178","12,195","2,374",49
Childress Public Library,"7,067",10-01-2017,9/30/2018,Childress,9409378421,"$53,644","$6,000",$0,$0,"$73,944",Yes,Yes,"18,571",560,"5,455","1,328","26,776","11,994","1,664","10,775",993,"15,532",Yes,4,"4,827","3,219","1,790",51
Burton Memorial Library,"3,311",10-01-2017,9/30/2018,Clarendon,8068743685,"$56,366","$9,766",$0,"$37,000","$76,115",Yes,Yes,"27,099",286,"4,674","1,562","35,206","77,342","1,314","13,594",141,"14,639",Yes,6,"17,455",338,"2,008",52
Dallam-Hartley County Library,"12,861",10-01-2017,9/30/2018,Dalhart,8062442761,"$112,567","$11,396","$3,500",$0,"$155,470",Yes,Yes,"23,359","2,934","5,455","1,328","34,231","12,278","2,397","22,997","1,792","31,445",Yes,12,"3,615","9,385","2,000",52
Rhoads Memorial Library,"7,843",10-01-2017,9/30/2018,Dimmitt,8066473532,"$80,261","$8,592","$3,890","$45,500","$116,537",Yes,Yes,"20,941","3,901","5,455","1,328","32,551","15,579","2,058","7,269",262,"11,693",Yes,7,"5,048","3,028","1,936",52
Killgore Memorial Library,"22,097",10-01-2017,9/30/2018,Dumas,8069354941,"$432,419","$42,372",$45,$0,"$577,804",Yes,Yes,"43,764","1,984","5,455","1,328","63,481","55,369","3,467","24,467","1,274","54,284",Yes,22,"4,904","16,679","2,222",52
Friona Public Library,"3,910",10-01-2017,9/30/2018,Friona,8062503200,"$102,752","$13,218","$3,000","$150,391","$150,391",Yes,Yes,"31,702",621,"5,455","1,328","40,204","11,533","3,030","5,627",387,"13,644",Yes,13,"14,668","41,341","2,340",52
Deaf Smith County Library,"18,836",10-01-2017,9/30/2018,Hereford,8063641206,"$219,102","$49,625","$8,045",$0,"$350,923",Yes,Yes,"48,082","2,362","5,455","1,328","59,948","50,106","6,979","15,313","1,821","1,03,399",Yes,7,"5,093","52,037","2,595",52
Higgins Public Library,819,01-01-2018,12/31/2018,Higgins,8068522214,"$11,865","$2,712",$0,"$2,000","$18,451",Yes,Yes,"11,315",290,"5,378","1,328","18,965","5,328",389,"2,208",72,"3,120",Yes,2,408,"20,470","1,057",51
Lovett Memorial Library McLean,947,10-01-2017,9/30/2018,McLean,8067792851,"$48,781","$6,357",$45,"$62,781","$67,392",Yes,Yes,"11,931",421,"5,307","1,322","21,397","4,728",440,"11,153","36,382","52,715",Yes,5,"1,176","55,756","1,670",52
Memphis Public Library,"3,071",10-01-2017,9/30/2018,Memphis,8062592062,"$64,221","$6,000",$154,"$53,050","$53,640",Yes,Yes,"20,577",697,"5,455","1,328","28,063","11,357","1,287","3,372",728,"9,283",Yes,6,"1,327","1,440","1,500",52
Lovett Memorial Library Pampa,"21,457",10-01-2017,9/30/2018,Pampa,8066695780,"$291,091","$20,304","$1,166","$383,148","$418,831",Yes,Yes,"34,510","2,362","5,380","1,326","48,704","27,198","3,332","30,543","36,191","82,021",Yes,12,"6,608","21,034","2,808",52
Carson County Public Library,"6,032",10-01-2017,9/30/2018,Panhandle,8065373742,"$222,817","$10,282",$0,$0,"$273,672",Yes,Yes,"36,806","1,150","5,455","1,328","46,572","20,560","1,286","31,030","4,756","47,171",Yes,9,"3,345","5,937","1,992",52
Perry Memorial Library,"10,073",10-01-2017,9/30/2018,Perryton,8064355801,"$245,744","$15,861",$45,$0,"$309,563",Yes,Yes,"31,346","1,214","5,455","1,328","40,719","14,793","3,122","31,737",220,"34,544",Yes,8,"4,521",0,"2,246",49
Caprock Public Library,"1,528",10-01-2017,9/30/2018,Quitaque,8064551225,"$21,584","$3,189",$0,"$21,628","$27,392",Yes,Yes,"6,674",313,"5,455","1,328","14,535","2,334",177,"1,777",84,"2,386",Yes,4,268,145,"1,869",52
Shamrock Community Library,"5,358",01-01-2018,12/31/2018,Shamrock,8062563921,"$19,312","$4,437",$0,"$27,836","$31,651",Yes,Yes,"30,200",0,"5,455","1,328","36,983","4,082","1,800","2,041","3,610","7,935",Yes,4,"1,020",0,"1,000",52
Hansford County Library,"5,447",01-01-2018,12/31/2018,Spearman,8066592231,"$69,232","$7,113",$0,"$37,200","$93,720",Yes,Yes,"22,983","1,096","5,378","1,328","32,244","9,872","3,368","16,363",325,"19,038",Yes,6,629,0,"1,725",52
Sherman County Public Library,"3,067",10-01-2017,9/30/2018,Stratford,8063662200,"$91,054","$10,023",$0,$0,"$125,096",Yes,Yes,"19,460","2,518","5,455","1,328","30,331","15,277",546,"16,922","36,410","63,158",Yes,12,"3,495",0,"2,012",52
Texline Public Library,38,01-01-2018,12/31/2018,Texline,8063624849,$0,$689,$0,$0,$863,No,Yes,"1,932",0,0,0,"1,932",185,85,126,0,480,Yes,1,45,0,"2,048",52
Swisher County Library,"7,515",10-01-2017,9/30/2018,Tulia,8069953447,"$73,755","$14,204",$170,"$9,500","$109,989",Yes,Yes,"11,946",629,"5,455","1,328","19,500","16,758","2,553","6,387",364,"13,262",Yes,7,"2,384","6,109","2,118",52
Oldham County Public Library,"2,114",10-01-2017,9/30/2018,Vega,8062672635,"$6,000","$3,891",$0,"$2,000","$19,090",Yes,Yes,"14,670",88,0,0,"14,764","2,694",573,"1,103",0,"1,840",Yes,2,88,173,"1,098",51
Collingsworth Public Library,"2,987",09-01-2017,8/31/2018,Wellington,8064473183,"$106,513","$21,710","$5,541",$0,"$163,135",Yes,Yes,"24,911",950,"5,307","1,322","34,157","31,218","1,546","20,618","1,091","33,094",Yes,9,"1,747","1,46,412","2,404",51
Austin Public Library,"9,50,715",10-01-2017,9/30/2018,Austin,5129747400,"$32,304,799","$2,330,665","$1,882,191","$49,739,412","$51,619,114",Yes,Yes,"10,12,663","1,07,378","1,38,832","65,598","14,78,053","34,90,849","6,45,680","26,72,260","13,16,242","65,49,132",Yes,768,"4,82,351","2,40,47,758","3,432",52
Wells Branch Community Library,"14,363",01-01-2018,12/31/2018,Austin-Wells Branch,5129893188,"$548,280","$71,387","$24,259","$1,279,007","$1,336,403",Yes,Yes,"47,258","2,534","17,327","7,129","82,572","1,04,259","9,727","69,990","17,178","2,04,118",Yes,25,"12,580","50,098","3,033",52
Westbank Community Library District,"30,303",01-01-2018,12/31/2018,Austin-West Lake Hills,5123143580,"$1,404,561","$110,945","$155,113","$2,584,059","$2,712,537",Yes,Yes,"72,706","5,879","7,233","2,125","1,00,441","2,55,760","25,355","2,21,010","48,126","4,71,457",Yes,25,"12,441","1,47,444","2,700",52
Bastrop Public Library,"34,329",10-01-2017,9/30/2018,Bastrop,5123328880,"$588,408","$41,599","$1,500","$723,459","$763,339",Yes,Yes,"44,349","3,435","14,719","3,334","71,650","1,14,567","11,768","79,381","11,398","1,43,270",Yes,31,"14,900","29,275","2,280",52
Bedias Public Library,"1,621",10-01-2017,9/30/2018,Bedias,9363952658,$0,$0,$0,$200,"$15,439",Yes,Yes,"12,263",249,0,0,"13,470","1,328",926,796,0,"2,286",Yes,5,"1,192",72,704,44
Bee Cave Public Library,"6,739",10-01-2017,9/30/2018,Bee Cave,5127676620,"$536,348","$44,571","$25,915","$661,524","$661,524",Yes,Yes,"26,364","1,758","13,382","2,401","46,980","1,06,519","8,775","37,810","19,004","1,60,713",Yes,7,"1,785",0,"2,030",52
Lena Armstrong Public Library,"21,734",10-01-2017,9/30/2018,Belton,2549335830,"$270,973","$36,252","$7,350","$338,741","$364,942",Yes,Yes,"42,310",878,321,17,"45,040","59,537","9,092","38,490",520,"89,404",Yes,13,"10,677","6,406","2,326",52
Blanco County South Library District,"6,076",07-01-2017,6/30/2018,Blanco,8308334280,"$98,245","$10,888","$1,500","$185,820","$347,360",Yes,Yes,"20,703","1,034","18,163","2,736","44,797","22,892","3,674","14,218","2,035","20,834",Yes,44,"3,020","5,357","2,219",51
Bremond Public Library,"2,306",01-01-2018,12/31/2018,Bremond,2547467752,"$13,674","$2,528",$0,"$16,332","$28,895",Yes,Yes,"10,567",147,0,0,"10,722","3,945","1,653","1,520",0,"2,121",Yes,6,"1,345",0,"1,664",52
Nancy Carol Roberts Memorial Library,"16,951",10-01-2017,9/30/2018,Brenham,9793377201,"$323,533","$43,598","$18,940","$478,457","$499,095",Yes,Yes,"41,655","1,554","12,017","3,045","61,091","99,138","27,955","64,470","8,232","1,08,434",Yes,28,"19,813","19,892","2,621",52
Bryan+College Station Public Library System,"1,97,585",10-01-2017,9/30/2018,Bryan,9792095600,"$2,225,592","$169,043","$51,145","$2,633,229","$2,692,854",Yes,Yes,"1,76,304","7,482","5,038","8,408","2,07,792","3,92,642","56,603","4,30,589","96,284","9,07,765",Yes,53,"43,306","1,63,886","2,774",52
Buda Public Library,"20,163",10-01-2017,9/30/2018,Buda,5122955899,"$468,336","$23,601","$11,357","$481,818","$563,551",Yes,Yes,"40,307","3,384","13,439","8,861","67,714","67,788","9,989","43,120","9,930","1,24,231",Yes,26,"10,093","37,648","2,527",49
Buffalo Public Library,"1,892",10-01-2017,9/30/2018,Buffalo,9033224146,"$62,781","$4,119",$0,"$84,555","$84,555",Yes,Yes,"27,604",117,0,0,"28,124","3,010","2,841","1,545",0,"2,304",Yes,11,"1,241",0,"1,544",50
Burnet County Library System,"40,464",10-01-2017,9/30/2018,Burnet,5123552113,"$773,228","$82,788","$43,071","$12,442","$1,136,225",Yes,Yes,"79,021","11,766","2,327","9,025","1,11,238","1,14,469","11,371","1,03,153","20,449","1,97,006",Yes,34,"15,025","30,575","2,125",52
Harrie P Woodson Memorial Library,"4,330",02-01-2017,1/31/2018,Caldwell,9795674111,"$109,507","$4,019",$0,"$138,910","$141,392",Yes,Yes,"21,692",169,0,0,"23,859","13,006","1,594","8,058",0,"13,399",Yes,7,"4,852",0,"2,232",52
Cameron Public Library,"5,523",10-01-2017,9/30/2018,Cameron,2546972401,"$38,841","$7,321",$0,"$67,540","$70,640",Yes,Yes,"21,189",128,0,0,"21,338","11,498","3,414","5,315",0,"7,364",Yes,8,"3,111",0,"1,652",52
Cedar Park Public Library,"75,704",10-01-2017,9/30/2018,Cedar Park,5124015600,"$1,119,885","$133,207","$73,145","$1,695,161","$1,731,998",Yes,Yes,"1,10,278","7,820","15,984","6,186","1,49,746","2,89,071","16,792","3,66,416","60,887","7,65,979",Yes,44,"43,193","1,53,325","3,425",52
Nellie Pederson Civic Library,"3,397",10-01-2017,9/30/2018,Clifton,2546756495,"$53,537","$9,123","$1,307","$77,864","$84,976",Yes,Yes,"10,134",505,"1,186",134,"12,762","13,319","4,671","10,334",659,"13,868",Yes,10,"2,959",0,"1,743",52
Copperas Cove Public Library,"32,706",10-01-2017,9/30/2018,Copperas Cove,2545473826,"$269,295","$30,714","$8,444","$469,338","$477,972",Yes,Yes,"47,849","1,769","12,017","2,925","67,304","76,434","17,157","67,727","6,678","86,414",Yes,22,"21,619","20,449","2,496",52
East Travis Gateway Library District,"23,617",01-01-2018,12/31/2018,Del Valle,(512) 243-1981,"$276,805","$16,674","$3,000","$1,018,103","$1,018,103",Yes,Yes,"21,380",107,"9,152","4,044","37,324","15,725","7,741","5,035",339,"7,424",Yes,25,"11,122",0,"2,874",52
Dripping Springs Community Library,"38,884",01-01-2018,12/31/2018,Dripping Springs,5128587825,"$392,414","$47,729","$44,774","$857,482","$946,351",Yes,Yes,"42,180","2,623","12,064","9,757","69,472","90,905","10,780","73,087","16,672","1,59,419",Yes,24,"7,330","44,735","2,914",52
Elgin Public Library,"34,859",10-01-2017,9/30/2018,Elgin,5122815678,"$255,143","$8,589","$2,278","$331,488","$341,488",Yes,Yes,"32,945","1,475",282,494,"37,625","43,017","8,216","47,964","1,026","91,520",Yes,12,"7,766",0,"1,971",52
Fairfield Library,"8,914",01-01-2018,12/31/2018,Fairfield,9033893574,"$49,718","$4,999","$1,500","$44,000","$71,433",Yes,Yes,"20,579",425,"12,150","2,961","36,741","25,134","2,444","6,064","1,953","14,452",Yes,25,"4,224",0,"1,624",52
Florence Public Library,"1,262",10-01-2017,9/30/2018,Florence,2547932672,"$12,624","$1,706",$0,"$17,624","$33,172",Yes,Yes,"10,882",13,0,0,"10,895","4,928","2,494","1,078",0,"1,353",Yes,6,"1,275",0,"1,683",51
Robertson County Library,"3,941",01-01-2018,12/31/2018,Franklin,9798284331,"$34,921","$6,690","$1,500","$34,291","$61,402",Yes,Yes,"10,263",144,"11,924","2,302","24,854","10,300","2,100","4,600",227,"9,127",Yes,6,"2,800",0,"2,040",52
Gatesville Public Library,"4,272",10-01-2017,9/30/2018,Gatesville,2548655367,"$176,930","$11,205","$9,840","$253,660","$253,660",Yes,Yes,"41,525","4,360","14,832","3,434","66,824","54,990","7,645","39,568","6,236","63,064",Yes,30,"9,000","12,236","3,120",52
Georgetown Public Library,"70,685",10-01-2017,9/30/2018,Georgetown,5129303551,"$1,587,188","$133,950","$14,708","$2,574,935","$2,905,620",Yes,Yes,"84,159","8,271","14,263","3,227","1,18,957","3,81,859","36,232","2,68,938","44,728","5,46,692",Yes,35,"66,361",0,"3,269",52
Giddings Public Library,"5,106",10-01-2017,9/30/2018,Giddings,9795422716,"$223,614","$9,304","$1,782","$302,552","$332,693",Yes,Yes,"36,407","1,181",0,0,"38,412","31,880","4,678","16,693",0,"29,780",Yes,25,"2,803",0,"2,109",52
Jennie Trent Dew Library,"4,921",10-01-2017,9/30/2018,Goldthwaite,3256482447,"$47,687","$15,724","$1,500","$30,332","$76,952",Yes,Yes,"12,465",364,"14,719","3,334","32,252","11,795","2,734","9,741","2,422","16,315",Yes,11,"3,326","12,218","1,935",52
Groesbeck Public Library,"8,673",10-01-2017,9/30/2018,Groesbeck,2547293667,"$78,780","$5,807","$3,000","$110,455","$124,816",Yes,Yes,"24,409",394,"16,261","3,717","46,478","11,106","1,599","5,474","1,151","10,946",Yes,17,"3,185","4,319","1,482",52
Hamilton Public Library,"8,422",01-01-2018,12/31/2018,Hamilton,2543863474,"$41,828","$6,124","$1,000","$20,000","$68,672",Yes,Yes,"16,726",550,"11,820","2,275","32,623","17,922","3,051","12,445","1,174","24,744",Yes,9,"3,299","7,672","1,861",52
Stewart C Meyer Library,"31,075",10-01-2017,9/30/2018,Harker Heights,2549535491,"$508,519","$40,266","$29,714","$643,828","$645,328",Yes,Yes,"49,310","4,377","12,770","10,956","82,074","83,443","52,954","68,239","9,200","1,50,524",Yes,10,"20,116","20,185","3,144",52
Smith-Welch Memorial Library,"10,956",10-01-2017,9/30/2018,Hearne,9792795191,"$143,002","$8,264",$0,"$164,823","$168,823",Yes,Yes,"14,580",365,"12,730",22,"28,870","23,728","2,581","19,389",593,"21,855",Yes,17,"6,815",0,"2,202",51
Hewitt Public Library,"22,353",10-01-2017,9/30/2018,Hewitt,2546662442,"$473,003","$45,110","$14,025","$629,882","$665,761",Yes,Yes,"64,226","1,819","38,799","1,625","1,08,713","3,99,452","15,761","2,62,843","68,867","5,36,424",Yes,32,"53,633","1,68,524","3,224",52
Hillsboro City Library,"8,425",10-01-2017,9/30/2018,Hillsboro,2545827385,"$304,171","$17,646","$3,880","$421,902","$421,902",Yes,Yes,"44,640","1,371","77,018",0,"1,25,093","75,560","18,369","43,286",981,"75,317",Yes,26,"12,393",0,"2,332",52
