Library Name,Legal Service Area (Population Assignment),Start of Local Fiscal Year (LFY),End of Local Fiscal Year (LFY),Mail City,Library Phone,Total Staff Expenditures,Print Material Expenditures,Electronic Material Expenditures,City/Library District Capital Revenue,Total Capital Revenue,Electronically Searchable  Catalog,1% of Collection Published in Last Five Years?,Books in Print,Physical Audio Items,E-books,E-Audio,Total Collection Items,Annual Library Visits,Registered Library Users,Annual Circulation: All Other Ages Physical Items,Annual Circulation: All Other Ages Digital Items,Total Annual Circulation,Public Internet Computers Available,Number of Public Internet Computers,Annual Number of Computer Uses,Annual Website Visits,Annual Number of Public Service Hours,Annual Number Public Service Weeks
Andrews County Library,"18,440",10-01-2021,09/30/2022,Andrews,4325239819,"$4,24,467","$32,300","$9,903",$0,"$5,40,638",Y,Y,"52,192","3,670","35,320","16,763","1,10,439","27,219","5,077","10,245","3,939","39,619",Y,24,"4,002",0,"2,248",52
Brazoria County Library System,"3,79,689",10-01-2021,09/30/2022,Angleton,9798641505,"$62,19,995","$7,47,639","$4,81,784","$6,93,109","$89,20,591",Y,Y,"3,39,657","14,107","7,70,067","5,56,586","17,51,075","5,61,043","1,35,421","3,12,274","4,24,114","16,44,796",Y,166,"56,150","8,38,803",0,0
Anson Public Library,"2,347",01-01-2022,12/31/2022,Anson,3258232711,"$9,773","$2,300",$0,"$7,693","$12,241",Y,Y,"18,114",5,0,0,"18,131",0,0,560,0,990,Y,5,0,0,"1,350",50
Ed & Hazel Richmond Public Library,"11,392",10-01-2021,09/30/2022,Aransas Pass,3617582350,"$1,48,009","$6,444","$3,500","$1,89,623","$1,91,339",Y,Y,"22,669",462,"24,142","8,401","56,488","15,210","7,582","9,213","2,023","13,771",Y,17,"2,029",0,"2,460",52
Archer Public Library,"8,681",10-01-2021,09/30/2022,Archer City,9405744954,"$52,450","$4,464","$2,123","$6,729","$71,424",Y,Y,"23,974",807,"14,292",986,"43,224","12,513","3,013","6,290",693,"12,892",Y,6,"1,885","1,524","1,839",52
Arlington Public Library System,"3,92,786",10-01-2021,09/30/2022,Arlington,8174596900,"$49,04,335","$7,82,971","$6,85,169","$83,98,537","$89,80,728",Y,Y,"4,21,782","24,104","38,451","20,163","5,43,612","7,02,756","1,52,524","6,43,020","2,52,947","15,81,210",Y,460,"89,167","14,20,956","3,640",52
Stonewall County Library,"1,217",10-01-2021,09/30/2022,Aspermont,9409892730,"$28,286","$1,425","$1,093",$0,"$50,129",Y,Y,"15,247",581,"1,24,494","66,347","2,06,781","1,430",941,997,"1,562","2,649",Y,6,235,0,"1,152",52
Henderson County Clint W Murchison Memorial Library,"23,201",01-01-2022,12/31/2022,Athens,9036777295,"$2,63,836","$23,729","$6,000","$12,000","$3,07,945",Y,Y,"38,528","1,675","49,903","7,481","98,170","25,366","13,307","17,904","11,105","42,782",Y,8,"3,469","7,798","2,249",52
Atlanta Public Library,"5,409",10-01-2021,09/30/2022,Atlanta,9037962112,"$2,10,702","$29,068","$1,000","$3,43,292","$3,61,633",Y,Y,"22,135","2,003","49,993","7,232","82,183","29,491","1,588","19,691","3,799","33,142",Y,6,"2,649",0,"2,136",49
Aubrey Area Library,"21,919",10-01-2021,09/30/2022,Aubrey,9403659162,"$1,79,409","$16,988","$11,691","$2,28,468","$3,04,405",Y,Y,"16,105",307,"21,159","8,624","47,476","28,244","4,764","13,731","10,836","80,401",Y,9,"1,397",0,"1,941",49
Austin Public Library,"9,64,177",10-01-2021,09/30/2022,Austin,5129747400,"$3,52,90,385","$23,56,675","$41,06,225","$5,91,69,779","$6,07,68,595",Y,Y,"10,92,823","99,737","2,51,035","1,37,555","17,56,536","15,56,603","4,54,826","18,32,101","23,86,385","67,47,189",Y,679,"1,97,246","2,07,67,695","2,854",52
Lake Travis Community Library,"49,699",07-01-2021,06/30/2022,Austin-Lakeway,5122632885,"$6,68,045","$45,807","$93,334","$18,78,666","$19,00,379",Y,Y,"42,922","2,949","39,492","7,830","1,05,890","1,45,104","27,488","1,85,525","56,896","3,77,578",Y,10,"3,244","1,76,077","2,194",52
Wells Branch Community Library,"13,891",01-01-2022,12/31/2022,Austin-Wells Branch,5129893188,"$6,57,052","$56,768","$52,244","$21,95,998","$22,66,067",Y,Y,"45,612","2,147","32,228","14,484","1,02,559","59,299","5,300","45,522","21,579","1,71,043",Y,15,"4,295","35,859","2,973",52
Westbank Community Library District,"25,371",01-01-2022,12/31/2022,Austin-WestLakeHills,5123143580,"$18,60,254","$1,49,826","$3,57,761","$34,32,401","$35,77,894",Y,Y,"69,552","3,322","1,97,072","72,772","3,82,986","1,59,699","23,078","1,21,577","1,41,458","5,25,420",Y,12,"6,566","1,16,163","2,782",52
Azle Memorial Library,"19,950",10-01-2021,09/30/2022,Azle,8177522682,"$5,77,012","$39,965","$7,085","$8,61,020","$8,66,092",Y,Y,"47,830","2,098","18,133","10,685","86,480","77,073","12,605","91,069","26,940","2,20,823",Y,16,"5,202",0,"2,384",52
Balch Springs Library - Learning Center,"27,160",10-01-2021,09/30/2022,Balch Springs,9729133000,"$3,55,670","$31,052",$0,"$4,34,187","$4,80,562",Y,Y,"23,693",652,"49,993","7,232","84,763","35,213","5,883","4,774","1,489","23,540",Y,21,"4,957","12,445","1,965",52
Carnegie Library of Ballinger,"5,247",01-01-2022,12/31/2022,Ballinger,3253653616,"$46,307","$6,153",$0,"$6,500","$95,543",Y,Y,"11,966",672,"14,292",0,"28,561","4,564",644,"8,693",21,"13,032",Y,5,410,0,"1,705",52
Bandera County Library,"7,139",10-01-2021,09/30/2022,Bandera,8307964213,"$72,210","$16,520","$1,500",$0,"$1,52,370",Y,Y,"23,186","1,413","32,133","5,556","65,654","12,844","9,401","16,210","5,049","25,872",Y,11,"4,161","17,964","2,409",51
Teinert Memorial Public Library,"1,643",10-01-2021,09/30/2022,Bartlett,2545274308,$0,$0,"$1,500","$1,500","$1,500",Y,N,"7,082",0,"27,000","6,000","40,082",320,"2,226","4,621","1,94,000","2,08,082",Y,4,45,0,375,51
Bastrop Public Library,"10,434",10-01-2021,09/30/2022,Bastrop,5123328880,"$4,89,113","$53,860","$6,811","$6,34,720","$6,60,813",Y,Y,"40,268","3,166","41,276","8,402","97,729","64,364","4,095","36,940","13,342","94,843",Y,31,"4,734","48,914","2,265",51
Bay City Public Library,"26,315",10-01-2021,09/30/2022,Bay City,9792456931,"$3,01,649","$35,826","$9,402","$3,09,090","$5,32,073",Y,Y,"39,415",714,"21,193","3,454","68,173","21,953","13,804","16,791","3,059","36,417",Y,16,"2,832",0,"2,403",52
Sterling Municipal Library,"82,480",10-01-2021,09/30/2022,Baytown,2814277331,"$20,52,909","$88,953","$1,11,400","$28,07,906","$28,79,052",Y,Y,"1,13,641","5,595","59,223","20,454","2,04,363","1,28,860","32,721","1,18,602","37,865","2,30,039",Y,44,"32,562","1,72,453","3,153",52
Beaumont Public Library System,"1,12,556",10-01-2021,09/30/2022,Beaumont,4099815911,"$18,10,300","$1,25,167","$60,000","$22,58,200","$28,12,947",Y,Y,"3,03,120","13,974","14,972","4,133","3,67,422","1,87,447","92,825","1,19,898","26,248","2,41,751",Y,54,"44,628","38,182","2,340",52
Bedford Public Library,"49,187",10-01-2021,09/30/2022,Bedford,8179522332,"$11,90,565","$1,15,740","$53,201","$16,39,457","$16,59,482",Y,Y,"77,696","2,288","19,373","11,303","1,21,293","1,19,996","34,394","1,75,268","53,406","4,02,531",Y,42,"13,534","59,452","2,806",52
Bee Cave Public Library,"9,028",10-01-2021,09/30/2022,Bee Cave,5127676620,"$7,21,947","$37,457","$67,804","$8,91,147","$8,91,147",Y,Y,"25,228","1,546","28,747","9,167","67,567","58,219","5,658","17,040","23,647","99,209",Y,7,931,0,"1,799",51
Joe Barnhart Bee County Library,"24,036",10-01-2021,09/30/2022,Beeville,3613624901,"$2,97,690","$27,113","$20,787","$20,000","$4,04,953",Y,Y,"40,575","2,239","36,640","4,675","86,729","58,047","18,492","21,595","3,486","29,044",Y,26,"6,979","20,000","2,080",52
Bellaire City Library,"16,983",10-01-2021,09/30/2022,Bellaire,7136628160,"$6,39,630","$50,043","$6,293","$7,96,655","$8,07,350",Y,Y,"83,694","2,170","62,561","22,123","1,74,081","47,666","11,419","51,337","20,714","1,72,185",Y,19,"4,003","31,901","2,118",52
Bellville Public Library,"4,108",10-01-2021,09/30/2022,Bellville,9798653731,"$2,64,767","$14,154","$1,500","$2,99,382","$3,07,000",Y,Y,"25,984",552,"17,621","2,164","48,575","38,245","2,870","24,270","2,962","41,412",Y,9,"2,238",0,"2,000",52
Lena Armstrong Public Library,"23,845",10-01-2021,09/30/2022,Belton,2549335830,"$2,76,435","$29,765","$11,045","$5,00,560","$5,19,198",Y,Y,"29,126",980,"88,143","28,493","1,48,105","40,251","6,723","27,537","5,874","84,753",Y,13,"4,769","4,512","2,249",52
Benbrook Public Library,"24,605",10-01-2021,09/30/2022,Benbrook,8172496632,"$10,26,509","$58,948","$73,934","$17,28,900","$17,70,417",Y,Y,"45,568","1,133","8,09,705","1,92,925","11,13,274","85,177","12,179","44,603","32,450","1,89,735",Y,22,"6,887",0,"3,102",52
Reagan County Library,"3,253",10-01-2021,09/30/2022,Big Lake,3258842854,"$1,71,819","$11,571","$5,629",$0,"$1,98,237",Y,Y,"14,773",493,"73,851","28,493","1,18,275","11,295","2,522","2,515","4,747","9,254",Y,14,506,0,"2,259",39
Howard County Library,"34,128",10-01-2021,09/30/2022,Big Spring,4322642260,"$3,56,244","$25,469","$9,190",$0,"$4,55,339",Y,Y,"49,371","2,507","32,993","4,359","91,911","42,562","13,782","14,797","3,604","31,054",Y,19,"3,728","14,921","2,196",51
Blanco County South Library District,"6,527",07-01-2021,06/30/2022,Blanco,8308334280,"$1,75,122","$30,167","$5,500","$3,86,168","$4,24,711",Y,Y,"21,323",971,"24,473","7,521","56,828","14,677","2,452","9,546","5,010","19,376",Y,28,942,"12,762","2,119",51
Patrick Heath Public Library,"25,605",10-01-2021,09/30/2022,Boerne,8302493053,"$10,78,658","$59,610","$33,823","$12,95,752","$17,15,790",Y,Y,"37,410","1,754","1,88,371","72,679","3,04,759","1,39,293","20,099","86,339","39,387","2,85,350",Y,44,"6,403","48,150","2,721",52
Bonham Public Library,"10,559",01-01-2022,12/31/2022,Bonham,9035833128,"$2,38,916","$13,121","$10,350","$3,45,959","$4,15,093",Y,Y,"33,087","1,087","5,29,572","93,115","6,73,919","24,975","17,196","14,630","6,805","36,255",Y,9,"2,052","5,663","2,223",44
Booker School/Public Library,"1,602",10-01-2021,09/30/2022,Booker,8066584521,"$48,510",$436,"$3,198","$4,500","$84,381",Y,Y,"23,344",9,"5,982","1,941","31,300","4,800","1,123","47,512",280,"51,104",Y,4,20,"7,677","1,580",45
Hutchinson County Library,"20,495",10-01-2021,09/30/2022,Borger,8062730126,"$4,83,796","$34,612","$3,063",$0,"$5,80,971",Y,Y,"41,275","2,027","6,738","2,293","53,754","50,417","7,186","27,977","1,462","51,653",Y,14,"2,074","39,565","2,458",51
Bowie Public Library,"17,551",10-01-2021,09/30/2022,Bowie,9408722681,"$1,67,046","$8,463","$2,310","$2,18,397","$3,70,006",Y,Y,"24,420","1,022","10,270",865,"38,924","32,559","5,700","12,064","20,708","45,370",Y,13,"1,926",0,"2,033",51
McCulloch County Library,"7,533",10-01-2021,09/30/2022,Brady,3255972617,"$1,28,178","$5,022","$1,500",$0,"$1,79,212",Y,Y,"18,109",813,"42,432","1,881","64,611","11,072","6,876","11,678","2,212","22,326",Y,12,"1,611",0,"1,823",52
Breckenridge Library,"5,244",01-01-2022,12/31/2022,Breckenridge,2545595505,"$51,600","$4,099","$1,500","$15,900","$93,230",Y,Y,"25,881","1,478","23,084","1,881","52,771","5,101","3,517","2,314","1,547","5,247",Y,6,859,0,"1,160",51
Bremond Public Library,"2,056",01-01-2022,12/31/2022,Bremond,2547467752,"$11,213",$250,$0,"$15,000","$20,027",Y,N,"10,028",169,0,0,"10,201","2,743","1,783",0,0,624,Y,3,660,0,"1,040",52
Nancy Carol Roberts Memorial Library,"18,117",10-01-2021,09/30/2022,Brenham,9793377201,"$3,06,701","$46,645","$20,840","$5,19,560","$5,31,925",Y,Y,"38,683","1,497","24,381","7,836","74,899","50,408","32,650","30,511","13,682","68,008",Y,26,"7,646","7,507","2,169",52
Bridge City Public Library,"9,519",10-01-2021,09/30/2022,Bridge City,4097354242,"$1,30,453","$18,216",$500,"$1,76,354","$1,87,756",Y,Y,"18,180",479,"35,521","3,454","59,344","11,298","3,582","5,639","1,428","15,456",Y,14,983,0,"1,721",52
Bridgeport Public Library,"25,173",10-01-2021,09/30/2022,Bridgeport,9406833450,"$1,97,339","$13,119","$3,000","$2,39,488","$2,93,770",Y,Y,"36,225","1,462","18,133","10,685","67,703","27,851","8,671","8,339","2,530","24,355",Y,10,"2,026",0,"1,680",50
Kendrick Memorial Library,"11,754",01-01-2022,12/31/2022,Brownfield,8066373848,"$1,34,199","$7,239","$3,000","$7,500","$1,57,198",Y,Y,"37,139","1,243","18,441","3,924","61,879","9,476","4,088","6,837","1,339","12,790",Y,4,806,0,"1,952",52
Brownsville Public Library,"2,56,135",10-01-2021,09/30/2022,Brownsville,9565481055,"$18,01,572","$3,20,225","$3,91,539","$33,50,760","$35,99,126",Y,Y,"2,39,974","2,763","37,386","22,228","3,31,459","5,30,393","99,325","75,914","94,687","2,20,732",Y,289,"42,914","52,808","3,400",52
Brownwood Community Library,"38,192",10-01-2021,09/30/2022,Brownwood,3256460155,"$1,92,533","$11,749","$7,242","$2,42,002","$3,93,892",Y,Y,"46,705","1,345","88,143","75,464","2,14,500","43,472","9,246","30,981","9,104","75,406",Y,15,"7,990","18,893","2,393",52
Bryan + College Station Public Library System,"2,06,885",10-01-2021,09/30/2022,Bryan,9792095600,"$23,53,640","$1,58,907","$90,649","$31,26,550","$32,59,113",Y,Y,"1,62,344","5,460","34,231","5,180","2,15,648","2,16,152","44,251","1,86,983","41,779","5,85,692",Y,48,"20,400","1,73,932","2,750",52
Buda Public Library,"20,750",10-01-2021,09/30/2022,Buda,5122955899,"$6,03,744","$40,080","$20,471","$6,28,573","$7,12,114",Y,Y,"42,659","3,714","41,300","9,536","99,104","72,109","10,990","56,417","24,217","1,90,782",Y,22,"6,288","55,971","2,520",52
Bullard Community Library,"3,706",01-01-2022,12/31/2022,Bullard,9038946125,"$22,560","$3,256",$0,"$15,259","$57,102",Y,Y,"20,054",670,"29,171","4,705","56,342","9,212","1,676","7,814","1,988","18,638",Y,5,647,"5,762","1,500",50
Mammen Family Public Library,"38,237",07-01-2021,06/30/2022,Bulverde,8304384864,"$8,14,064","$56,104","$39,967","$30,51,578","$31,69,659",Y,Y,"49,229","4,468","1,95,155","80,659","3,42,048","1,20,763","10,537","1,02,104","39,666","3,03,205",Y,9,"4,343","1,11,018","2,666",52
Buna Public Library,"9,150",01-01-2022,12/31/2022,Buna,4099945501,"$16,189","$1,939","$1,479",$0,"$38,015",Y,Y,"19,396",749,0,0,"22,039","24,325","2,806","3,224",0,"4,422",Y,6,"1,990",0,"1,667",49
Burkburnett Library,"10,975",10-01-2021,09/30/2022,Burkburnett,9405692991,"$1,09,363","$23,622","$3,000","$1,73,641","$1,73,726",Y,Y,"22,181","1,541","23,121",0,"48,805","20,372","11,401","27,873","36,911","1,02,163",Y,10,"2,122","2,219","1,942",49
Burleson Public Library,"51,618",10-01-2021,09/30/2022,Burleson,8174269210,"$7,14,155","$55,348","$97,402","$11,68,543","$12,53,754",Y,Y,"45,031","2,359","28,100","19,832","99,707","1,67,518","17,256","83,637","54,033","2,58,029",Y,16,"9,787","2,25,299","2,834",52
Burnet County Library System,"50,954",10-01-2021,09/30/2022,Burnet,5123552113,"$8,82,486","$81,442","$69,109","$9,400","$12,69,009",Y,Y,"89,448","7,848","7,92,792","5,45,859","14,57,394","1,18,289","19,280","80,362","37,951","1,95,805",Y,38,"8,317","31,426","1,941",52
Harrie P Woodson Memorial Library,"4,109",10-01-2021,09/30/2022,Caldwell,9795673271,"$96,415","$4,485",$0,"$1,63,625","$1,74,274",Y,Y,"20,372",237,"34,334","6,542","63,636","12,286","1,101","5,444",294,"12,297",Y,6,"1,346",0,"2,706",52
Cameron Public Library,"5,352",10-01-2021,09/30/2022,Cameron,2546972401,"$58,086","$6,898",$0,"$85,020","$88,424",Y,Y,"20,544",143,"14,292",0,"35,299","6,748","3,774","2,829",21,"5,471",Y,4,586,0,"1,400",50
Camp Wood Public Library,"1,304",09-01-2021,08/31/2022,Camp Wood,8305973208,$1,"$4,708","$1,500",$0,"$35,866",Y,Y,"6,249",173,"32,135","5,621","45,880","5,343",983,"2,064",412,"3,628",Y,7,554,0,"1,236",52
Hemphill County Library,"3,271",10-01-2021,09/30/2022,Canadian,8063235282,"$1,86,716","$15,109","$1,104",$0,"$2,38,615",Y,Y,"34,453","3,569","20,274","1,941","63,319","16,245","2,190","33,508",455,"35,041",Y,8,186,"12,595","2,295",52
Van Zandt County Library,"22,878",10-01-2021,09/30/2022,Canton,9035674276,"$1,37,609","$11,950","$3,395","$12,657","$1,49,113",Y,Y,"34,224",432,"28,754","4,348","69,512","25,526","13,443","21,648",40,"34,575",Y,12,"2,090",0,"1,600",50
Canyon Area Library,"42,822",10-01-2021,09/30/2022,Canyon,8066555015,"$2,63,178","$25,668","$23,426","$4,36,395","$4,41,564",Y,Y,"35,993","2,104","15,336","7,747","64,341","32,033","8,687","17,723","8,689","65,475",Y,11,"2,296","11,401","2,324",50
Tye Preston Memorial Library,"31,128",07-01-2021,06/30/2022,Canyon Lake,8309643744,"$5,58,596","$63,978","$48,544","$17,01,465","$17,74,839",Y,Y,"38,818","2,047","36,902","5,770","91,210","62,477","11,563","59,084","21,298","1,27,547",Y,31,"4,468","32,190","2,622",52
Dimmit County Public Library,"8,473",01-01-2022,12/31/2022,Carrizo Springs,8308765788,"$73,990","$18,356","$2,273","$34,887","$1,46,214",Y,Y,"27,635",350,"60,133",0,"88,760","21,645","7,210","10,335",88,"15,893",Y,24,"7,342",0,"1,920",52
Carrollton Public Library,"1,65,500",10-01-2021,09/30/2022,Carrollton,9724664800,"$22,40,939","$2,06,383","$1,81,509","$31,89,806","$32,80,032",Y,Y,"1,31,154","4,814","1,61,531","71,091","3,76,451","1,39,230","54,993","1,43,277","78,020","4,47,349",Y,90,"21,689","3,15,414","2,424",52
Sammy Brown Library,"22,675",01-01-2022,12/31/2022,Carthage,9036936741,"$3,62,936","$23,215","$13,500","$2,12,190","$6,56,343",Y,Y,"32,059","1,746","49,953","7,561","94,419","37,307","8,991","29,330","5,433","47,602",Y,6,"14,722","26,611","2,388",52
Castroville Public Library,"3,005",10-01-2021,09/30/2022,Castroville,8309314095,"$1,57,656","$16,631","$1,500","$2,39,449","$2,48,899",Y,Y,"15,741","1,026","18,154","5,592","43,392","21,340","7,481","8,992","4,068","21,950",Y,14,"2,933",0,"2,340",52
Zula B Wylie Public Library in Cedar Hill,"48,557",10-01-2021,09/30/2022,Cedar Hill,9722917323,"$8,38,468","$46,500","$53,900","$11,53,170","$11,53,170",Y,Y,"35,380","1,978","6,075","6,112","52,826","53,365","25,161","54,968","16,423","1,20,611",Y,28,"11,602","40,138","2,817",52
Cedar Park Public Library,"78,693",10-01-2021,09/30/2022,Cedar Park,5124015600,"$15,16,658","$1,43,055","$1,55,960","$21,86,729","$22,39,801",Y,Y,"1,04,956","7,188","39,412","24,986","1,85,622","2,07,690","29,783","4,01,730","1,10,759","8,58,882",Y,29,"18,964","2,81,824","3,421",52
Celina Public Library,"25,456",10-01-2021,09/30/2022,Celina,9723828655,"$2,53,753","$24,768","$1,500","$3,13,222","$3,32,967",Y,Y,"19,290",254,"35,701","7,232","63,632","23,864","5,749","8,569","3,299","53,563",Y,4,630,0,"2,476",52
Fannie Brown Booth Memorial Library,"5,133",10-01-2021,09/30/2022,Center,9365985522,"$55,874","$15,549","$1,706","$54,000","$1,03,147",Y,Y,"13,836",675,"21,193","3,454","40,204","4,360","4,253","6,428","2,148","13,544",Y,7,"2,085",0,"1,695",49
Chandler Public Library,"10,008",10-01-2021,09/30/2022,Chandler,9038494122,"$44,006","$5,000",$500,"$36,262","$90,906",Y,Y,"19,727",529,"46,064","7,892","75,819","6,000","4,790","9,729","5,144","20,362",Y,5,"2,495","5,390","1,794",52
Charlotte Public Library,"3,615",07-01-2021,06/30/2022,Charlotte,8302771212,"$51,264","$10,773",$0,"$69,262","$80,235",Y,Y,"12,845",68,"15,792",0,"29,047","2,109","1,502",120,0,"1,408",Y,4,536,0,"1,920",51
Chico Public Library Inc,"4,198",10-01-2021,09/30/2022,Chico,9406442330,"$42,759","$2,855","$1,500","$10,500","$54,701",Y,Y,"10,781",590,"10,596","1,204","25,465","10,918","2,498","3,544","20,708","29,198",Y,4,"1,944","3,715","1,640",49
Childress Public Library,"6,736",10-01-2021,09/30/2022,Childress,9409378421,"$63,206","$3,700",$0,$0,"$78,406",Y,Y,"17,341",664,"5,982","1,941","26,432","7,202","1,778","9,452",370,"11,642",Y,6,941,"7,859","1,825",52
Burton Memorial Library,"3,268",10-01-2021,09/30/2022,Clarendon,8068743685,"$62,194","$6,918",$0,"$45,000","$79,265",Y,Y,"24,822",388,"5,982","1,941","35,097","56,130","1,377","13,808",280,"15,732",Y,6,"9,030","7,471","1,944",52
Red River County Public Library,"11,555",10-01-2021,09/30/2022,Clarksville,9034273991,"$51,697","$15,727","$3,000",$0,"$1,09,134",Y,Y,"27,757",850,"44,116","5,418","79,314","4,186","4,620","6,084","2,348","9,064",Y,8,579,"5,810","1,544",52
Cleburne Public Library,"31,999",10-01-2021,09/30/2022,Cleburne,8176450934,"$4,74,672","$32,066","$39,734","$6,83,883","$7,28,723",Y,Y,"44,402","11,081","36,407","10,021","1,06,027","82,166","10,800","69,635","16,660","1,19,931",Y,20,"11,530",0,"2,215",52
Austin Memorial Library,"7,999",10-01-2021,09/30/2022,Cleveland,2815923920,"$2,84,405","$29,499","$20,370","$5,00,345","$5,01,600",Y,Y,"42,430","1,581","13,143","2,018","62,758",0,"11,471","13,352","3,862","29,098",Y,16,"4,846",0,"2,577",50
Tarkington Community Library,"10,442",10-01-2021,09/30/2022,Cleveland-Tarkington,2815925136,"$9,088","$3,664",$0,$0,"$35,258",Y,Y,"13,826",14,0,0,"14,501","1,894",780,748,154,"3,350",Y,3,136,946,"1,025",52
Nellie Pederson Civic Library,"3,488",10-01-2021,09/30/2022,Clifton,2546756495,"$69,610","$12,148","$1,040","$94,491","$1,67,896",Y,Y,"9,822",608,"1,493",642,"13,676","9,263",718,"8,225","3,581","14,736",Y,10,"1,084",0,"1,706",50
Clyde Public Library,"11,419",10-01-2021,09/30/2022,Clyde,3258935315,"$94,823","$9,183","$1,665","$1,24,684","$1,28,863",Y,Y,"18,910",193,"73,851","28,493","1,23,841","5,679","5,453","4,575","2,331","9,609",Y,7,808,0,"1,584",52
Coldspring Area Public Library Inc,777,01-01-2022,12/31/2022,Coldspring,9366533104,"$40,487","$1,710","$1,500","$15,000","$54,331",Y,Y,"14,030",666,"2,072",398,"18,381","7,306","7,121","2,662","1,075","5,428",Y,7,"1,066","17,000","1,903",51
Coleman Public Library,"7,735",10-01-2021,09/30/2022,Coleman,3256253043,"$1,08,993","$15,945","$2,873","$1,57,542","$1,79,065",Y,Y,"30,971","1,127","89,421","28,493","1,82,944","21,760","9,623","17,742","21,411","45,063",Y,18,"7,400",0,"1,513",47
Colleyville Public Library,"25,986",10-01-2021,09/30/2022,Colleyville,8175031150,"$7,98,089","$56,829","$80,969","$10,72,747","$12,94,996",Y,Y,"54,783","4,546","2,78,882","2,88,897","6,36,878","79,725","9,710","61,003","57,737","2,47,076",Y,9,952,"1,07,714","2,385",52
Nesbitt Memorial Library,"5,584",10-01-2021,09/30/2022,Columbus,9797323392,"$1,59,318","$20,661","$5,300","$2,23,033","$2,66,959",Y,Y,"27,904",833,"26,984","8,402","65,374","32,706","3,450","12,480","3,286","28,311",Y,12,"2,546","20,500","1,848",50
