Library Name,Legal Service Area (Population Assignment),Start of Local Fiscal Year (LFY),End of Local Fiscal Year (LFY),Mail City,Library Phone,Total Staff Expenditures,Print Material Expenditures,Electronic Material Expenditures,City/Library District Capital Revenue,Total Capital Revenue,Electronically Searchable  Catalog,1% of Collection Published in Last Five Years?,Books in Print,Physical Audio Items,E-books,E-Audio,Total Collection Items,Annual Library Visits,Registered Library Users,Annual Circulation: All Other Ages Physical Items,Annual Circulation: All Other Ages Digital Items,Total Annual Circulation,Public Internet Computers Available,Number of Public Internet Computers,Annual Number of Computer Uses,Annual Website Visits,Annual Number of Public Service Hours,Annual Number Public Service Weeks
West Columbia Branch Library,,,,West Columbia,9793453394,,,,,,,,,,,,,,,,,,,,,,"2,083",52
Danbury Library,,,,Danbury,9799221905,,,,,,,,,,,,,,,,,,,,,,"1,804",52
Pearland Westside Library,,,,Pearland,7134360995,,,,,,,,,,,,,,,,,,,,,,"2,625",52
Anson Public Library,"2,292",01-01-2019,12/31/2019,Anson,3258232711,"$10,915","$3,040",$0,$0,$0,Yes,Yes,"17,792",15,0,0,"17,822","2,227","3,688",840,0,"1,186",Yes,5,"1,450",0,"1,428",51
Ed & Hazel Richmond Public Library,"11,671",10-01-2018,9/30/2019,Aransas Pass,3617582350,"$1,38,215","$8,025","$3,000",$0,$0,Yes,Yes,"22,538",464,"19,784","2,828","46,582","23,860","7,223","12,032","1,590","16,084",Yes,19,"7,382",0,"2,819",49
Archer Public Library,"4,422",10-01-2018,9/30/2019,Archer City,9405744954,"$46,637","$9,394",$0,$0,"$8,529",Yes,Yes,"25,111",794,0,0,"29,020","14,836","2,840","7,185",0,"14,209",Yes,6,"2,098",0,"1,885",52
Arlington Public Library System,"3,98,112",10-01-2018,9/30/2019,Arlington,8174596900,"$57,00,395","$4,95,095","$3,15,206","$28,84,351","$32,23,299",Yes,Yes,"4,41,730","31,454","35,872","11,883","5,62,028","10,73,658","1,78,599","7,62,086","2,38,758","19,34,201",Yes,267,"2,94,621","8,68,872","3,583",52
East Arlington Branch Library,,,,Arlington,8172753321,,,,,,,,,,,,,,,,,,,,,,"2,674",52
Northeast Branch Library,,,,Arlington,8172775573,,,,,,,,,,,,,,,,,,,,,,"2,674",52
Woodland West Branch Library,,,,Arlington,8172775265,,,,,,,,,,,,,,,,,,,,,,"2,246",52
Lake Arlington Branch Library,,,,Arlington,8174783762,,,,,,,,,,,,,,,,,,,,,,"2,674",52
Southeast Branch Library,,,,Arlington,8174596395,,,,,,,,,,,,,,,,,,,,,,"2,854",52
Southwest Branch Library,,,,Arlington,8174596386,,,,,,,,,,,,,,,,,,,,,,"2,674",52
Stonewall County Library,"1,362",10-01-2018,9/30/2019,Aspermont,9409892730,"$25,394","$2,900","$1,500",$0,$0,Yes,Yes,"15,240",570,"11,714","2,357","30,071","2,221",929,775,"2,257","3,160",Yes,4,345,0,"1,248",52
Henderson County Clint W Murchison Memorial Library,"23,123",01-01-2019,12/31/2019,Athens,9036777295,"$2,13,747","$30,895","$8,148",$0,$0,Yes,Yes,"36,043","1,543","17,397","4,096","59,720","67,208","11,907","31,140","10,495","56,739",Yes,8,"8,327",0,"2,324",52
Atlanta Public Library,"5,515",10-01-2018,9/30/2019,Atlanta,9037962112,"$1,64,197","$29,435","$1,000",$0,$0,Yes,Yes,"21,288","2,117","27,404","5,447","58,779","50,637","4,594","50,718","2,715","63,272",Yes,11,"5,728","9,671","2,241",51
Austin Public Library,"9,64,254",10-01-2018,9/30/2019,Austin,5129747400,"$3,43,05,199","$26,58,696","$15,94,027",$0,"$2,05,000",Yes,Yes,"9,61,875","1,02,065","1,47,584","91,366","14,52,036","36,19,974","7,00,206","28,35,914","16,82,553","74,82,140",Yes,768,"5,39,287","2,55,72,315","3,432",52
Austin History Center Library,,,,Austin,5129747480,,,,,,,,,,,,,,,,,,,,,,"2,392",52
Carver Branch Library,,,,San Antonio,2102079180,,,,,,,,,,,,,,,,,,,,,,"2,912",52
Milwood Branch Library,,,,Austin,5129749880,,,,,,,,,,,,,,,,,,,,,,"2,912",52
Will Hampton Branch at Oak Hill,,,,Austin,5129749900,,,,,,,,,,,,,,,,,,,,,,"2,912",52
Eustasio Cepeda Branch Library,,,,Austin,5129747372,,,,,,,,,,,,,,,,,,,,,,"2,912",52
Howson Branch Library,,,,Austin,5129748800,,,,,,,,,,,,,,,,,,,,,,"2,912",52
Little Walnut Creek Branch Library,,,,Austin,5129749860,,,,,,,,,,,,,,,,,,,,,,"3,120",52
Manchaca Road Branch Library,,,,Austin,5129748700,,,,,,,,,,,,,,,,,,,,,,"3,120",52
St John Branch Library,,,,Austin,5129747570,,,,,,,,,,,,,,,,,,,,,,"2,912",52
Ralph W Yarborough Branch Library,,,,Austin,5129748820,,,,,,,,,,,,,,,,,,,,,,"3,120",52
North Village Branch Library,,,,Austin,5129749960,,,,,,,,,,,,,,,,,,,,,,"2,912",52
Willie Mae Kirk Branch Library,,,,Austin,5129749920,,,,,,,,,,,,,,,,,,,,,,"2,912",52
Old Quarry Branch Library,,,,Austin,5129748860,,,,,,,,,,,,,,,,,,,,,,"2,912",52
Pleasant Hill Branch Library,,,,Austin,5129743940,,,,,,,,,,,,,,,,,,,,,,"2,912",52
Daniel E Ruiz Branch Library,,,,Austin,5129747487,,,,,,,,,,,,,,,,,,,,,,"3,120",52
Spicewood Springs Branch Library,,,,Austin,5129743800,,,,,,,,,,,,,,,,,,,,,,"2,912",52
Terrazas Branch Library,,,,Austin,5129743625,,,,,,,,,,,,,,,,,,,,,,"2,912",52
Twin Oaks Branch Library,,,,Austin,5129749980,,,,,,,,,,,,,,,,,,,,,,"2,912",52
University Hills Branch Library,,,,Austin,5129749940,,,,,,,,,,,,,,,,,,,,,,"2,912",52
Windsor Park Branch Library,,,,Austin,5129749840,,,,,,,,,,,,,,,,,,,,,,"2,912",52
Southeast Austin Community Branch Library,,,,Austin,5129748840,,,,,,,,,,,,,,,,,,,,,,"2,912",52
Azle Memorial Library,"18,437",10-01-2018,9/30/2019,Azle,8177522682,"$4,27,042","$22,268","$2,893",$0,$0,Yes,Yes,"46,681","2,161","15,759","7,875","80,006","1,13,353","21,030","61,920","21,190","1,97,094",Yes,42,"14,052",0,"2,772",52
Callahan County Library,"3,323",10-01-2018,9/30/2019,Baird,3258545875,"$12,176",$798,$0,$0,$0,No,Yes,"16,294",332,0,0,"16,626","1,590",70,689,0,993,Yes,2,338,0,921,52
Carnegie Library of Ballinger,"5,302",01-01-2019,12/31/2019,Ballinger,3253653616,"$37,496","$3,465",$0,$0,"$20,000",Yes,Yes,"12,270",667,0,0,"14,014","5,394","4,752","4,770",0,"6,476",Yes,7,"1,319",0,"1,802",52
Bandera County Library,"7,556",10-01-2018,9/30/2019,Bandera,8307964213,"$83,316","$16,294","$2,368",$0,"$68,004",Yes,Yes,"23,617","1,390","12,782","2,387","43,548","55,200","8,110","23,567","3,358","32,757",Yes,13,"10,527",0,"2,906",52
Bastrop Public Library,"9,420",10-01-2018,9/30/2019,Bastrop,5123328880,"$5,25,542","$42,319","$1,500",$0,$0,Yes,Yes,"42,667","3,457","19,503","4,919","76,516","92,554","9,252","92,122","12,590","1,59,134",Yes,32,"14,026","31,495","2,285",52
Bay City Public Library,"26,297",10-01-2018,9/30/2019,Bay City,9792456931,"$2,84,647","$36,711","$4,000","$1,03,461","$1,46,719",Yes,Yes,"39,252",915,"17,133","1,328","63,427","57,631","12,491","25,197","4,699","47,056",Yes,13,"5,416",0,"1,902",48
Sargent Branch Library,,,,Bay City,9794761335,,,,,,,,,,,,,,,,,,,,,,"1,000",51
Sterling Municipal Library,"77,024",10-01-2018,9/30/2019,Baytown,2814277331,"$18,33,731","$1,20,559","$80,000","$60,000","$60,000",Yes,Yes,"1,17,423","5,636","53,996","17,629","2,02,059","2,27,074","45,836","2,17,199","80,971","4,41,486",Yes,78,"64,678","2,28,411","3,368",52
Beaumont Public Library System,"1,18,428",10-01-2018,9/30/2019,Beaumont,4099815911,"$19,79,160","$93,601","$78,851",$0,$0,Yes,Yes,"2,92,497","11,937","12,190","3,178","3,47,649","3,06,747","91,642","2,29,721","22,746","3,78,676",Yes,54,"76,133",0,"2,780",52
Elmo R Willard Branch Library,,,,Beaumont,4098924988,,,,,,,,,,,,,,,,,,,,,,"3,132",52
Maurine Gray Literacy Center,,,,Beaumont,4098357924,,,,,,,,,,,,,,,,,,,,,,"2,617",52
RC Miller Memorial Library,,,,Beaumont,4098669487,,,,,,,,,,,,,,,,,,,,,,"3,132",52
Tyrrell Historical Library,,,,Beaumont,4098332749,,,,,,,,,,,,,,,,,,,,,,"3,124",52
Theodore Johns Branch Library,,,,Beaumont,4098425223,,,,,,,,,,,,,,,,,,,,,,"3,132",52
Bedford Public Library,"49,464",10-01-2018,9/30/2019,Bedford,8179522332,"$10,63,538","$1,12,022","$49,435",$0,$0,Yes,Yes,"84,584","5,215","16,112","37,384","1,55,682","1,90,768","36,168","3,06,685","44,654","6,23,042",Yes,60,"35,367","9,59,337","2,948",52
Joe Barnhart Bee County Library,"25,227",10-01-2018,9/30/2019,Beeville,3613624901,"$2,91,089","$39,301","$17,588",$0,$0,Yes,Yes,"41,935","2,660","19,907","2,770","70,643","92,514","8,950","21,223","3,044","36,752",Yes,26,"15,053","21,000","2,816",52
Bellaire City Library,"18,966",10-01-2018,9/30/2019,Bellaire,7136628160,"$6,40,001","$52,080","$10,448",$0,$0,Yes,Yes,"79,573","11,369","50,782","18,823","1,63,878","1,08,428","4,322","57,415","17,090","1,85,625",Yes,18,"11,648","2,738","2,738",52
Bellville Public Library,"4,266",10-01-2018,9/30/2019,Bellville,9798653731,"$2,40,185","$11,588","$1,500",$0,$0,Yes,Yes,"34,398",475,"13,262","1,202","51,618","30,088","2,970","39,028","2,109","62,916",Yes,7,"3,304",0,"1,954",52
Lena Armstrong Public Library,"22,222",10-01-2018,9/30/2019,Belton,2549335830,"$2,57,250","$35,151","$9,127","$5,731","$5,731",Yes,Yes,"29,849","1,016",835,67,"32,636","56,498","5,089","34,282",715,"85,109",Yes,13,"9,298","7,849","2,341",52
Reagan County Library,"3,741",10-01-2018,9/30/2019,Big Lake,3258842854,"$1,60,683","$10,692","$4,420",$0,$0,Yes,Yes,"14,588",481,"7,002","1,905","24,489","10,825","2,441","2,787",202,"4,151",Yes,11,"1,861",0,"2,250",51
Howard County Library,"36,459",10-01-2018,9/30/2019,Big Spring,4322642260,"$3,29,322","$24,234","$6,790",$0,"$9,469",Yes,Yes,"59,150","2,053","16,417","1,755","81,530","65,737","11,803","23,740","1,412","44,363",Yes,14,"11,485",0,"2,243",52
Blanco County South Library District,"6,116",07-01-2018,6/30/2019,Blanco,8308334280,"$1,02,837","$15,355","$3,500",$0,$0,Yes,Yes,"21,310",955,"16,280","3,718","44,630","22,880","2,718","13,142","2,257","20,002",Yes,44,"2,613","4,127","2,218",51
Patrick Heath Public Library,"26,170",10-01-2018,9/30/2019,Boerne,8302493053,"$10,42,909","$41,802","$23,451",$0,"$87,004",Yes,Yes,"40,022","2,408","1,21,366","1,13,425","2,82,867","1,44,215","20,322","1,02,507","33,841","2,71,754",Yes,57,"14,124","36,028","2,738",52
Bonham Public Library,"10,372",01-01-2019,12/31/2019,Bonham,9035833128,"$2,04,724","$18,065","$8,900",$0,$0,Yes,Yes,"32,677",951,"3,75,922","82,605","5,07,922","41,400","17,490","28,936","6,772","55,448",Yes,9,"6,642","28,285","2,748",52
Hutchinson County Library,"21,198",10-01-2018,9/30/2019,Borger,8062730126,"$4,45,009","$33,574",$978,$0,"$20,920",Yes,Yes,"50,428","2,018","5,544","1,389","61,003","72,899","6,443","21,415",792,"37,742",Yes,14,"4,152","13,860","2,232",52
Hutchinson County Library - Fritch,,,,Fritch,8068573752,,,,,,,,,,,,,,,,,,,,,,"1,771",51
Hutchinson County Library - Stinnett,,,,Stinnett,8068784013,,,,,,,,,,,,,,,,,,,,,,"1,766",51
Bowie Public Library,"10,945",10-01-2018,9/30/2019,Bowie,9408722681,"$1,61,908","$10,418","$1,267",$0,$0,Yes,Yes,"23,995",938,"9,287",479,"37,239","53,841","6,242","29,537","12,070","48,258",Yes,13,"3,450",0,"2,216",52
McCulloch County Library,"7,987",10-01-2018,9/30/2019,Brady,3255972617,"$1,43,198","$7,286","$1,860",$0,"$13,10,449",Yes,Yes,"14,885",705,"25,419","11,503","53,379","19,516","6,702","17,821","1,961","24,132",Yes,10,"2,376",0,"1,984",52
Breckenridge Library,"9,433",01-01-2019,12/31/2019,Breckenridge,2545595505,"$48,216","$4,637","$1,500",$0,$0,Yes,Yes,"27,257","1,357","7,116","1,905","38,191","6,194","3,646","4,211",819,"6,478",Yes,9,"1,074",0,"1,176",50
Nancy Carol Roberts Memorial Library,"17,198",10-01-2018,9/30/2019,Brenham,9793377201,"$3,38,219","$43,661","$16,498",$0,$0,Yes,Yes,"42,743","1,477","19,382","4,880","71,657","1,04,203","29,466","57,840","8,765","1,02,786",Yes,28,"18,439","10,350","2,578",52
Bridgeport Public Library,"23,355",10-01-2018,9/30/2019,Bridgeport,9406833450,"$1,86,784","$10,184","$3,000",$0,$0,Yes,Yes,"35,401","1,420","15,855","6,815","60,701","43,959","8,019","17,972","1,775","33,497",Yes,10,"5,518",0,"2,312",52
Kendrick Memorial Library,"12,287",01-01-2019,12/31/2019,Brownfield,8066373848,"$1,74,597","$13,356","$3,000",$0,$0,Yes,Yes,"38,883","1,249","16,445","1,749","59,478","12,423","3,860","11,010","2,031","15,978",Yes,4,"3,109",0,"1,999",52
Brownsville Public Library,"2,59,659",10-01-2018,9/30/2019,Brownsville,9565481055,"$25,50,260","$4,09,550","$3,61,469",$0,$0,Yes,Yes,"2,54,845","3,960","28,215","14,994","3,29,691","9,02,303","2,13,390","2,48,868","36,202","3,61,677",Yes,289,"1,50,324","2,80,382","3,332",52
Southmost Branch Library,,,,Brownsville,9565481055,,,,,,,,,,,,,,,,,,,,,,"2,488",52
Brownwood Public Library,"37,924",10-01-2018,9/30/2019,Brownwood,3256460155,"$2,08,334","$15,330","$4,821",$0,$0,Yes,Yes,"45,680","1,704","7,275","1,923","58,175","66,044","9,751","47,230","7,371","85,556",Yes,23,"17,109",0,"2,648",52
Brownwood Public Library Local History & Genealogy Library,,,,Brownwood,3256466006,,,,,,,,,,,,,,,,,,,,,,"1,872",52
Bryan+College Station Public Library System,"2,01,663",10-01-2018,9/30/2019,Bryan,9792095600,"$21,61,256","$1,31,214","$96,053",$0,$0,Yes,Yes,"1,69,155","7,028","9,289","6,649","2,02,158","2,17,918","47,377","1,59,552","43,168","4,80,221",Yes,49,"31,428","1,43,886","2,904",52
Carnegie Center of Brazos Valley History,,,,Bryan,9792095630,,,,,,,,,,,,,,,,,,,,,,"1,168",52
Clara B Mounce Public Library,,,,Bryan,9792095600,,,,,,,,,,,,,,,,,,,,,,"2,768",52
Larry J Ringer Public Library,,,,College Station,9797643416,,,,,,,,,,,,,,,,,,,,,,"3,160",52
Buffalo Public Library,"1,895",10-01-2018,9/30/2019,Buffalo,9033224146,"$62,898","$3,585",$0,$0,$0,Yes,Yes,"28,319",168,0,0,"28,757","2,850","2,947","1,129",0,"1,640",Yes,11,"1,130",0,"1,544",50
Bullard Community Library,"3,558",01-01-2019,12/31/2019,Bullard,9038946125,"$28,367","$1,556","$1,514",$0,"$6,277",Yes,Yes,"24,076",997,"26,497","5,265","58,686","10,463","1,767","6,366","4,194","21,795",Yes,5,"1,738","10,361","1,512",52
Burkburnett Library,"11,250",10-01-2018,9/30/2019,Burkburnett,9405692991,"$1,04,509","$17,288","$3,000",$0,$0,Yes,Yes,"23,922","1,519","6,540",0,"33,776","33,736","11,006","33,947","17,305","71,863",Yes,10,"4,857","1,956","2,028",51
Burleson Public Library,"47,282",10-01-2018,9/30/2019,Burleson,8174269210,"$6,83,519","$62,048","$84,858",$0,$0,Yes,Yes,"45,315","2,853","20,987","15,448","90,070","1,29,068","26,576","1,42,299","38,665","3,24,062",Yes,22,"15,847","90,601","2,744",52
Burnet County Library System,"41,102",10-01-2018,9/30/2019,Burnet,5123552113,"$8,28,300","$82,379","$37,104",$0,$747,Yes,Yes,"80,716","11,021","1,840","37,746","1,40,570","1,47,914","10,966","1,39,302","19,914","2,41,913",Yes,34,"14,176","27,863","2,065",52
Bertram Free Library,,,,Bertram,5123552113,,,,,,,,,,,,,,,,,,,,,,"2,000",52
Oakalla Public Library,,,,Oakalla,-3,,,,,,,,,,,,,,,,,,,,,,468,52
Herman Brown Free Library,,,,Burnet,5127155228,,,,,,,,,,,,,,,,,,,,,,"2,040",52
Marble Falls Public Library,,,,Marble Falls,8306933023,,,,,,,,,,,,,,,,,,,,,,"2,000",52
Harrie P Woodson Memorial Library,"4,397",02-01-2018,1/31/2019,Caldwell,9795674111,"$99,158","$2,890",$0,$0,$0,Yes,Yes,"19,543",192,0,0,"21,788","11,832","1,433","5,989",0,"10,594",Yes,7,"3,565",0,"2,232",52
Cameron Public Library,"5,529",10-01-2018,9/30/2019,Cameron,2546972401,"$46,034","$7,995",$0,$0,$0,Yes,Yes,"19,440",136,0,0,"19,786","10,870","3,499","7,600",0,"8,824",Yes,5,"2,427",0,"1,676",52
Hemphill County Library,"3,825",10-01-2018,9/30/2019,Canadian,8063235282,"$2,07,313","$15,213",$644,$0,$0,Yes,Yes,"37,610","3,522","5,544","1,389","50,864","27,613","1,971","11,265","36,691","61,755",Yes,10,"1,284","7,781","2,397",52
Van Zandt County Library,"19,652",10-01-2018,9/30/2019,Canton,9035674276,"$1,12,096","$11,933",$0,$0,$0,Yes,Yes,"31,978","1,015","26,855","3,973","65,187","27,944","3,689","26,826",58,"41,096",Yes,12,"4,849",0,"1,588",50
Canyon Area Library,"40,569",10-01-2018,9/30/2019,Canyon,8066555015,"$2,80,924","$39,658","$16,205",$0,$0,Yes,Yes,"41,828","3,076","16,771","4,196","68,910","46,793","7,843","31,568","3,014","82,854",Yes,18,"9,653","11,633","2,398",51
Tye Preston Memorial Library,"29,285",07-01-2018,6/30/2019,Canyon Lake,8309643744,"$3,66,228","$45,360","$22,052",$0,$0,Yes,Yes,"34,828","2,285","8,943","3,786","57,102","70,214","8,159","78,077","15,489","1,36,704",Yes,31,"13,100","34,317","3,097",52
Dimmit County Public Library,"10,308",01-01-2019,12/31/2019,Carrizo Springs,8308765788,"$84,095","$12,778",$108,$0,$0,Yes,Yes,"26,004",337,"60,020",0,"86,993","22,840","6,040","12,720",90,"17,418",Yes,20,"6,823",52,"2,220",52
Carrollton Public Library,"1,64,245",10-01-2018,9/30/2019,Carrollton,9724664800,"$20,35,866","$2,96,983","$1,23,298",$0,$0,Yes,Yes,"1,60,211","8,318","1,09,602","27,756","3,14,760","4,01,949","99,598","2,08,267","1,61,169","6,95,853",Yes,90,"52,915","7,26,620","2,435",52
Carrollton Public Library @ Hebron and Josey,,,,Carrollton,9724664800,,,,,,,,,,,,,,,,,,,,,,"2,482",52
Sammy Brown Library,"23,148",01-01-2019,12/31/2019,Carthage,9036936741,"$3,59,359","$21,304","$3,500",$0,"$11,705",Yes,Yes,"40,254","2,616","18,975","5,129","70,654","64,536","9,890","62,654",984,"77,983",Yes,12,"26,940","2,871","2,402",52
Castroville Public Library,"3,102",10-01-2018,9/30/2019,Castroville,8309314095,"$1,21,414","$12,044","$1,500",$0,$0,Yes,Yes,"12,492",722,"6,200","1,500","23,106","27,180","3,910","11,171","2,434","24,288",Yes,15,"12,599",0,"2,340",52
Cedar Park Public Library,"76,999",10-01-2018,9/30/2019,Cedar Park,5124015600,"$11,40,318","$1,20,898","$1,04,933",$0,$0,Yes,Yes,"1,12,760","8,220","29,969","15,512","1,76,717","3,33,287","30,489","3,64,218","69,838","8,62,307",Yes,44,"40,588","1,39,098","3,421",52
Fannie Brown Booth Memorial Library,"5,278",10-01-2018,9/30/2019,Center,9365985522,"$47,018","$9,091","$2,049",$0,$0,Yes,Yes,"14,222",754,"16,751","1,259","34,101","11,062","6,792","14,355","2,720","20,255",Yes,7,"4,660",0,"1,715",49
Chico Public Library Inc,"4,083",10-01-2018,9/30/2019,Chico,9406442330,"$46,146","$2,990","$1,500",$0,"$16,300",Yes,Yes,"11,273",416,"9,048",454,"23,214","24,989","2,236","12,468","16,461","32,305",Yes,7,"4,153","8,508","1,804",39
Childress Public Library,"7,291",10-01-2018,9/30/2019,Childress,9409378421,"$54,538","$5,000",$0,$0,$0,Yes,Yes,"18,842",721,"5,544","1,389","27,447","14,326","1,871","5,756","1,398","8,319",Yes,4,"3,740",0,"1,832",52
Cisco Public Library,"6,438",01-01-2019,12/31/2019,Cisco,2544421020,"$6,719",$500,$0,$0,$0,No,Yes,"16,045",0,0,0,"16,045",0,0,"1,179",0,"1,329",Yes,1,280,0,780,52
Burton Memorial Library,"3,319",10-01-2018,9/30/2019,Clarendon,8068743685,"$55,598","$9,866",$0,$0,$0,Yes,Yes,"26,019",207,"4,674","1,562","34,494","75,666","1,207","11,456",150,"12,458",Yes,6,"11,044",0,"2,024",52
Red River County Public Library,"12,175",10-01-2018,9/30/2019,Clarksville,9034273991,"$50,070","$10,793","$3,000",$0,$0,Yes,Yes,"28,561","1,753","1,878",646,"34,297","19,735","5,819","23,006","1,334","31,021",Yes,5,"1,973",0,"1,692",52
Cleburne Public Library,"30,720",10-01-2018,9/30/2019,Cleburne,8176450934,"$4,66,395","$36,633","$15,488",$0,$0,Yes,Yes,"47,101","12,621","15,591","12,055","91,884","1,15,696","13,264","70,808","15,023","1,25,607",Yes,28,"22,413",0,"2,390",52
Austin Memorial Library,"8,230",10-01-2018,9/30/2019,Cleveland,2815923920,"$2,45,045","$37,472","$10,675",$0,$0,Yes,Yes,"40,321","1,625","13,420","10,004","68,696","87,943","10,830","20,147","3,898","38,815",Yes,20,"8,637",0,"3,025",52
Nellie Pederson Civic Library,"3,453",10-01-2018,9/30/2019,Clifton,2546756495,"$61,388","$8,884","$1,217","$1,656","$1,656",Yes,Yes,"10,343",587,"1,196",138,"13,056","12,999","1,845","10,841",660,"15,495",Yes,10,"2,599",0,"1,753",52
